Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Luc Mbah a Moute,HOU,vs.PHI,08/14/2020,L,14,3,1,3,33.3,0,2,0.0,1,2,50.0,0,1,1,0,0,0,0,0,-14
DeMarre Carroll,HOU,vs.PHI,08/14/2020,L,25,5,2,5,40.0,1,3,33.3,0,0,-,0,4,4,1,1,0,1,2,-29
Kyle O'Quinn,PHI,@HOU,08/14/2020,W,17,6,3,5,60.0,0,2,0.0,0,0,-,1,5,6,5,0,1,1,1,23
Raul Neto,PHI,@HOU,08/14/2020,W,19,14,4,8,50.0,1,3,33.3,5,7,71.4,0,3,3,5,0,0,0,0,20
Bruno Caboclo,HOU,vs.PHI,08/14/2020,L,17,11,4,9,44.4,1,4,25.0,2,2,100,1,5,6,0,2,1,4,2,-23
Hamidou Diallo,OKC,@LAC,08/14/2020,L,40,27,10,22,45.5,4,8,50.0,3,5,60.0,4,7,11,1,0,1,2,5,-4
Reggie Jackson,LAC,vs.OKC,08/14/2020,W,16,7,2,8,25.0,1,4,25.0,2,2,100,0,2,2,3,0,0,3,3,8
JaMychal Green,LAC,vs.OKC,08/14/2020,W,27,13,5,11,45.5,3,6,50.0,0,0,-,0,8,8,0,1,0,3,3,-2
Ivica Zubac,LAC,vs.OKC,08/14/2020,W,11,6,2,3,66.7,0,0,-,2,2,100,1,3,4,0,0,1,1,1,8
Danilo Gallinari,OKC,@LAC,08/14/2020,L,9,3,0,3,0.0,0,1,0.0,3,3,100,0,1,1,0,0,0,0,2,0
Nerlens Noel,OKC,@LAC,08/14/2020,L,15,5,2,2,100,0,0,-,1,2,50.0,0,1,1,0,0,1,2,3,-1
Andre Roberson,OKC,@LAC,08/14/2020,L,28,3,1,9,11.1,0,6,0.0,1,2,50.0,1,4,5,2,0,1,0,4,6
Dennis Schroder,OKC,@LAC,08/14/2020,L,25,17,6,12,50.0,3,3,100,2,2,100,0,1,1,4,1,0,2,4,-10
Mike Muscala,OKC,@LAC,08/14/2020,L,14,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,0,0,1,0,1,-8
Steven Adams,OKC,@LAC,08/14/2020,L,6,0,0,2,0.0,0,0,-,0,0,-,2,2,4,0,0,0,1,0,2
Terrance Ferguson,OKC,@LAC,08/14/2020,L,17,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,4,-13
Shai Gilgeous-Alexander,OKC,@LAC,08/14/2020,L,14,13,6,10,60.0,0,1,0.0,1,1,100,0,4,4,0,1,0,3,0,12
Devon Hall,OKC,@LAC,08/14/2020,L,24,12,4,12,33.3,3,6,50.0,1,4,25.0,1,0,1,4,3,0,1,2,-1
Kevin Hervey,OKC,@LAC,08/14/2020,L,11,5,2,6,33.3,1,5,20.0,0,0,-,1,3,4,1,0,0,0,2,-10
Deonte Burton,OKC,@LAC,08/14/2020,L,30,6,3,11,27.3,0,4,0.0,0,0,-,1,5,6,5,0,0,4,2,0
Amir Coffey,LAC,vs.OKC,08/14/2020,W,50,21,7,17,41.2,2,8,25.0,5,8,62.5,0,2,2,4,4,1,2,6,11
Terance Mann,LAC,vs.OKC,08/14/2020,W,42,25,8,12,66.7,1,3,33.3,8,13,61.5,4,10,14,9,2,0,3,5,-7
Darius Bazley,OKC,@LAC,08/14/2020,L,31,9,3,12,25.0,2,5,40.0,1,3,33.3,1,7,8,1,0,2,1,0,7
Joakim Noah,LAC,vs.OKC,08/14/2020,W,29,9,4,7,57.1,0,0,-,1,2,50.0,1,5,6,5,1,0,4,1,8
Patrick Patterson,LAC,vs.OKC,08/14/2020,W,39,17,4,16,25.0,4,11,36.4,5,6,83.3,3,11,14,0,0,0,2,3,-6
Rodney McGruder,LAC,vs.OKC,08/14/2020,W,51,9,2,11,18.2,1,5,20.0,4,6,66.7,3,8,11,2,2,0,2,0,0
Kelly Olynyk,MIA,@IND,08/14/2020,L,20,6,2,9,22.2,2,8,25.0,0,0,-,0,6,6,0,0,1,0,0,-9
Derrick Jones Jr.,MIA,@IND,08/14/2020,L,16,3,1,2,50.0,0,0,-,1,2,50.0,2,0,2,2,2,0,0,2,-2
Duncan Robinson,MIA,@IND,08/14/2020,L,13,0,0,3,0.0,0,3,0.0,0,0,-,0,2,2,1,0,0,2,1,-5
Tyler Herro,MIA,@IND,08/14/2020,L,28,16,6,16,37.5,3,8,37.5,1,1,100,1,0,1,3,0,0,3,2,-10
Justin Holiday,IND,vs.MIA,08/14/2020,W,24,11,3,5,60.0,3,5,60.0,2,2,100,0,7,7,0,1,0,2,3,7
JaKarr Sampson,IND,vs.MIA,08/14/2020,W,23,10,5,9,55.6,0,0,-,0,0,-,1,3,4,2,2,0,2,1,5
Edmond Sumner,IND,vs.MIA,08/14/2020,W,31,7,3,7,42.9,0,3,0.0,1,1,100,0,2,2,6,0,0,2,4,15
Naz Mitrou-Long,IND,vs.MIA,08/14/2020,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,1,1,0
Brian Bowen II,IND,vs.MIA,08/14/2020,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0
Aaron Holiday,IND,vs.MIA,08/14/2020,W,17,11,5,7,71.4,1,3,33.3,0,0,-,0,2,2,2,3,0,2,2,2
Alize Johnson,IND,vs.MIA,08/14/2020,W,38,11,3,8,37.5,2,5,40.0,3,4,75.0,7,10,17,4,0,1,3,3,10
Goga Bitadze,IND,vs.MIA,08/14/2020,W,16,4,2,5,40.0,0,2,0.0,0,0,-,1,2,3,2,1,2,2,3,9
Malcolm Brogdon,IND,vs.MIA,08/14/2020,W,25,16,6,14,42.9,4,7,57.1,0,0,-,2,4,6,6,0,0,3,3,5
TJ Leaf,IND,vs.MIA,08/14/2020,W,18,6,3,9,33.3,0,2,0.0,0,1,0.0,0,3,3,1,2,0,0,2,10
Kendrick Nunn,MIA,@IND,08/14/2020,L,33,23,8,27,29.6,1,9,11.1,6,6,100,1,1,2,4,3,1,5,1,-21
Kyle Alexander,MIA,@IND,08/14/2020,L,12,2,1,1,100,0,0,-,0,0,-,1,1,2,0,0,0,1,1,-3
Meyers Leonard,MIA,@IND,08/14/2020,L,29,9,3,7,42.9,2,5,40.0,1,2,50.0,2,5,7,0,0,0,3,0,-10
Chris Silva,MIA,@IND,08/14/2020,L,24,5,2,4,50.0,0,0,-,1,4,25.0,4,7,11,1,0,3,1,3,-12
Solomon Hill,MIA,@IND,08/14/2020,L,41,21,5,13,38.5,1,4,25.0,10,12,83.3,2,5,7,3,1,0,3,2,-8
Doug McDermott,IND,vs.MIA,08/14/2020,W,22,23,8,16,50.0,5,11,45.5,2,3,66.7,1,3,4,0,1,0,0,2,10
T.J. McConnell,IND,vs.MIA,08/14/2020,W,21,8,4,8,50.0,0,0,-,0,0,-,0,3,3,8,1,0,2,2,12
Udonis Haslem,MIA,@IND,08/14/2020,L,24,7,3,5,60.0,1,1,100,0,0,-,1,7,8,0,0,0,1,3,-5
Paul Millsap,DEN,@TOR,08/14/2020,L,16,10,4,8,50.0,2,3,66.7,0,0,-,1,2,3,2,2,1,1,2,-4
Mason Plumlee,DEN,@TOR,08/14/2020,L,20,10,4,6,66.7,0,0,-,2,3,66.7,1,2,3,2,0,4,0,2,-3
Troy Daniels,DEN,@TOR,08/14/2020,L,28,10,4,11,36.4,2,8,25.0,0,0,-,0,3,3,1,1,0,3,3,-2
Jerami Grant,DEN,@TOR,08/14/2020,L,18,2,1,6,16.7,0,3,0.0,0,0,-,1,1,2,1,0,0,0,0,2
Noah Vonleh,DEN,@TOR,08/14/2020,L,7,2,1,2,50.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0
Nikola Jokic,DEN,@TOR,08/14/2020,L,10,2,1,1,100,0,0,-,0,0,-,0,1,1,2,0,0,1,0,-6
Jamal Murray,DEN,@TOR,08/14/2020,L,10,11,4,5,80.0,3,3,100,0,0,-,0,0,0,1,1,0,0,2,-6
Monte Morris,DEN,@TOR,08/14/2020,L,30,16,4,14,28.6,2,7,28.6,6,6,100,0,6,6,4,0,1,2,0,-7
Torrey Craig,DEN,@TOR,08/14/2020,L,15,3,1,6,16.7,1,3,33.3,0,0,-,1,3,4,3,0,0,1,0,-6
Keita Bates-Diop,DEN,@TOR,08/14/2020,L,24,11,3,11,27.3,1,4,25.0,4,4,100,2,4,6,0,1,2,2,3,-1
Marc Gasol,TOR,vs.DEN,08/14/2020,W,17,2,1,3,33.3,0,1,0.0,0,0,-,0,3,3,5,1,1,2,2,-2
Rondae Hollis-Jefferson,TOR,vs.DEN,08/14/2020,W,22,6,3,9,33.3,0,0,-,0,1,0.0,2,4,6,3,0,1,1,1,11
Norman Powell,TOR,vs.DEN,08/14/2020,W,23,15,6,9,66.7,3,5,60.0,0,0,-,1,5,6,2,1,1,3,2,-3
Matt Thomas,TOR,vs.DEN,08/14/2020,W,28,12,4,6,66.7,2,3,66.7,2,2,100,1,2,3,2,1,0,2,4,7
Stanley Johnson,TOR,vs.DEN,08/14/2020,W,29,23,9,16,56.3,4,8,50.0,1,3,33.3,0,4,4,6,1,1,5,5,5
Malcolm Miller,TOR,vs.DEN,08/14/2020,W,26,10,4,5,80.0,2,3,66.7,0,0,-,1,0,1,3,1,0,0,4,3
PJ Dozier,DEN,@TOR,08/14/2020,L,31,20,6,9,66.7,5,6,83.3,3,3,100,0,5,5,8,2,0,1,0,-5
Chris Boucher,TOR,vs.DEN,08/14/2020,W,22,9,3,8,37.5,1,3,33.3,2,3,66.7,4,5,9,0,0,1,1,2,5
Paul Watson,TOR,vs.DEN,08/14/2020,W,27,22,8,13,61.5,4,6,66.7,2,3,66.7,0,6,6,2,1,0,1,2,8
Terence Davis,TOR,vs.DEN,08/14/2020,W,34,14,5,15,33.3,2,6,33.3,2,2,100,1,5,6,3,2,0,3,2,6
Tyler Cook,DEN,@TOR,08/14/2020,L,16,4,1,2,50.0,0,0,-,2,2,100,2,2,4,0,2,0,2,1,-3
Bol Bol,DEN,@TOR,08/14/2020,L,15,8,2,6,33.3,0,1,0.0,4,5,80.0,1,3,4,2,0,3,2,2,1
Dewan Hernandez,TOR,vs.DEN,08/14/2020,W,13,4,2,6,33.3,0,0,-,0,0,-,3,4,7,1,0,0,1,0,0
Timothe Luwawu-Cabarrot,BKN,vs.POR,08/13/2020,L,32,19,7,13,53.8,5,9,55.6,0,0,-,2,6,8,1,0,0,2,5,6
Garrett Temple,BKN,vs.POR,08/13/2020,L,37,15,4,10,40.0,3,7,42.9,4,4,100,1,9,10,4,0,0,0,2,12
Justin Anderson,BKN,vs.POR,08/13/2020,L,6,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,1,2,-6
Mario Hezonja,POR,@BKN,08/13/2020,W,11,2,1,5,20.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,0,-6
Zach Collins,POR,@BKN,08/13/2020,W,17,2,1,7,14.3,0,2,0.0,0,0,-,3,3,6,0,0,0,0,0,-4
Anfernee Simons,POR,@BKN,08/13/2020,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,1
Carmelo Anthony,POR,@BKN,08/13/2020,W,37,9,4,12,33.3,1,4,25.0,0,0,-,3,4,7,1,1,0,2,5,13
Lance Thomas,BKN,vs.POR,08/13/2020,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-11
Damian Lillard,POR,@BKN,08/13/2020,W,44,42,13,22,59.1,8,14,57.1,8,9,88.9,0,3,3,12,2,0,1,1,-1
CJ McCollum,POR,@BKN,08/13/2020,W,44,25,9,21,42.9,0,6,0.0,7,8,87.5,1,3,4,7,3,1,2,3,7
Joe Harris,BKN,vs.POR,08/13/2020,L,34,19,9,14,64.3,1,4,25.0,0,0,-,1,2,3,4,0,0,3,5,-20
Jusuf Nurkic,POR,@BKN,08/13/2020,W,33,22,11,17,64.7,0,0,-,0,1,0.0,2,8,10,3,1,0,1,5,10
Tyler Johnson,BKN,vs.POR,08/13/2020,L,24,16,7,13,53.8,2,4,50.0,0,0,-,0,1,1,2,1,0,0,2,4
Gary Trent Jr.,POR,@BKN,08/13/2020,W,37,16,6,13,46.2,4,10,40.0,0,0,-,0,1,1,1,2,1,1,5,-6
Hassan Whiteside,POR,@BKN,08/13/2020,W,15,16,5,6,83.3,0,0,-,6,6,100,5,4,9,1,1,2,1,2,-9
Jeremiah Martin,BKN,vs.POR,08/13/2020,L,9,2,1,2,50.0,0,0,-,0,0,-,0,0,0,2,2,0,0,1,-14
Jarrett Allen,BKN,vs.POR,08/13/2020,L,37,14,5,8,62.5,0,0,-,4,9,44.4,6,5,11,4,0,3,1,1,16
Rodions Kurucs,BKN,vs.POR,08/13/2020,L,23,8,3,5,60.0,1,2,50.0,1,2,50.0,1,4,5,2,0,1,1,4,4
Caris LeVert,BKN,vs.POR,08/13/2020,L,33,37,16,29,55.2,1,5,20.0,4,4,100,1,5,6,9,2,1,6,1,4
Melvin Frazier Jr.,ORL,vs.NOP,08/13/2020,W,24,10,4,8,50.0,2,4,50.0,0,0,-,0,3,3,2,1,0,2,0,-16
Josh Hart,NOP,@ORL,08/13/2020,L,36,23,7,14,50.0,3,9,33.3,6,8,75.0,1,13,14,6,1,1,2,0,-8
Nickeil Alexander-Walker,NOP,@ORL,08/13/2020,L,36,29,11,18,61.1,2,6,33.3,5,5,100,1,0,1,7,1,0,6,4,-11
Nicolo Melli,NOP,@ORL,08/13/2020,L,25,6,2,6,33.3,1,5,20.0,1,1,100,0,5,5,1,0,0,0,1,-11
Nikola Vucevic,ORL,vs.NOP,08/13/2020,W,26,23,10,11,90.9,3,4,75.0,0,0,-,0,6,6,3,1,0,0,0,18
James Ennis III,ORL,vs.NOP,08/13/2020,W,31,16,6,11,54.5,2,4,50.0,2,2,100,1,3,4,0,2,0,2,5,14
Markelle Fultz,ORL,vs.NOP,08/13/2020,W,25,11,5,12,41.7,0,1,0.0,1,2,50.0,1,0,1,5,1,0,0,1,19
Wes Iwundu,ORL,vs.NOP,08/13/2020,W,27,15,4,5,80.0,2,2,100,5,7,71.4,0,4,4,6,0,0,2,1,11
BJ Johnson,ORL,vs.NOP,08/13/2020,W,17,9,2,6,33.3,2,2,100,3,4,75.0,0,2,2,0,0,0,1,2,8
Jaxson Hayes,NOP,@ORL,08/13/2020,L,31,13,5,7,71.4,0,0,-,3,4,75.0,2,2,4,0,0,1,1,4,-13
Jahlil Okafor,NOP,@ORL,08/13/2020,L,17,8,4,7,57.1,0,1,0.0,0,0,-,1,3,4,0,0,1,1,2,7
Frank Jackson,NOP,@ORL,08/13/2020,L,36,31,12,24,50.0,3,9,33.3,4,5,80.0,0,2,2,5,1,0,0,2,-8
Sindarius Thornwell,NOP,@ORL,08/13/2020,L,19,9,3,6,50.0,1,3,33.3,2,4,50.0,0,2,2,1,0,1,2,1,0
Kenrich Williams,NOP,@ORL,08/13/2020,L,19,0,0,1,0.0,0,1,0.0,0,0,-,2,3,5,1,2,0,0,3,12
Gary Clark,ORL,vs.NOP,08/13/2020,W,29,8,3,7,42.9,2,5,40.0,0,0,-,1,1,2,0,0,2,1,3,-1
Zylan Cheatham,NOP,@ORL,08/13/2020,L,20,8,4,4,100,0,0,-,0,0,-,2,1,3,1,1,0,1,5,2
Vic Law,ORL,vs.NOP,08/13/2020,W,21,10,4,8,50.0,1,3,33.3,1,2,50.0,0,4,4,1,0,0,1,3,-9
D.J. Augustin,ORL,vs.NOP,08/13/2020,W,22,22,7,10,70.0,1,3,33.3,7,7,100,1,3,4,6,0,0,2,5,-5
Khem Birch,ORL,vs.NOP,08/13/2020,W,18,9,3,6,50.0,0,0,-,3,6,50.0,2,1,3,2,1,0,1,2,-9
Jakob Poeltl,SAS,@UTA,08/13/2020,L,21,10,5,6,83.3,0,0,-,0,5,0.0,2,3,5,3,1,2,1,3,-1
Lonnie Walker IV,SAS,@UTA,08/13/2020,L,34,15,6,14,42.9,3,3,100,0,0,-,1,2,3,4,1,0,1,0,-12
Keldon Johnson,SAS,@UTA,08/13/2020,L,30,24,8,12,66.7,1,3,33.3,7,8,87.5,0,2,2,0,1,0,3,4,4
Quinndary Weatherspoon,SAS,@UTA,08/13/2020,L,3,1,0,0,-,0,0,-,1,2,50.0,0,1,1,0,0,0,0,1,-4
Ed Davis,UTA,vs.SAS,08/13/2020,W,7,11,5,6,83.3,0,0,-,1,1,100,4,2,6,1,0,0,0,2,11
Jordan Clarkson,UTA,vs.SAS,08/13/2020,W,14,11,4,12,33.3,3,9,33.3,0,0,-,0,2,2,1,0,0,2,1,12
Joe Ingles,UTA,vs.SAS,08/13/2020,W,12,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,3,1,0,0,0,12
Royce O'Neale,UTA,vs.SAS,08/13/2020,W,11,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,0,2,0,1,1
Georges Niang,UTA,vs.SAS,08/13/2020,W,22,13,5,10,50.0,3,8,37.5,0,0,-,1,4,5,2,0,0,1,1,13
Donovan Mitchell,UTA,vs.SAS,08/13/2020,W,11,11,3,5,60.0,3,4,75.0,2,2,100,0,4,4,3,0,0,0,1,1
Tony Bradley,UTA,vs.SAS,08/13/2020,W,22,6,3,7,42.9,0,0,-,0,0,-,3,7,10,1,0,1,1,1,-1
Jarrell Brantley,UTA,vs.SAS,08/13/2020,W,29,13,6,13,46.2,0,3,0.0,1,2,50.0,1,3,4,6,1,1,0,2,-4
Juwan Morgan,UTA,vs.SAS,08/13/2020,W,22,6,3,4,75.0,0,0,-,0,0,-,2,1,3,1,1,1,1,5,7
Dejounte Murray,SAS,@UTA,08/13/2020,L,36,12,5,14,35.7,0,2,0.0,2,2,100,1,13,14,7,0,0,6,3,4
Nigel Williams-Goss,UTA,vs.SAS,08/13/2020,W,22,10,4,9,44.4,2,5,40.0,0,0,-,0,1,1,1,2,0,1,4,-4
Chimezie Metu,SAS,@UTA,08/13/2020,L,27,10,3,6,50.0,0,1,0.0,4,5,80.0,2,4,6,4,1,1,2,2,-12
Drew Eubanks,SAS,@UTA,08/13/2020,L,27,8,1,6,16.7,0,0,-,6,8,75.0,2,5,7,3,0,4,1,1,-10
Justin Wright-Foreman,UTA,vs.SAS,08/13/2020,W,17,4,2,7,28.6,0,3,0.0,0,0,-,0,2,2,3,1,0,1,2,-11
Miye Oni,UTA,vs.SAS,08/13/2020,W,26,10,4,8,50.0,2,5,40.0,0,0,-,1,1,2,2,1,0,1,3,0
Luka Samanic,SAS,@UTA,08/13/2020,L,31,16,5,10,50.0,3,5,60.0,3,4,75.0,1,5,6,3,0,1,1,4,7
Rayjon Tucker,UTA,vs.SAS,08/13/2020,W,24,18,6,12,50.0,1,4,25.0,5,5,100,0,2,2,1,0,0,0,0,-7
Marco Belinelli,SAS,@UTA,08/13/2020,L,30,16,6,11,54.5,3,6,50.0,1,2,50.0,0,0,0,0,0,0,0,2,-6
Kyle Korver,MIL,@MEM,08/13/2020,L,21,4,1,3,33.3,1,2,50.0,1,1,100,0,1,1,0,0,0,1,1,-1
Marvin Williams,MIL,@MEM,08/13/2020,L,10,5,2,2,100,1,1,100,0,0,-,0,3,3,0,0,0,0,0,-1
Brook Lopez,MIL,@MEM,08/13/2020,L,20,19,6,14,42.9,2,8,25.0,5,5,100,4,5,9,1,0,1,0,1,-20
De'Anthony Melton,MEM,vs.MIL,08/13/2020,W,20,5,2,6,33.3,0,3,0.0,1,2,50.0,0,2,2,2,0,0,0,1,-12
Khris Middleton,MIL,@MEM,08/13/2020,L,21,14,5,13,38.5,0,1,0.0,4,5,80.0,0,4,4,4,0,0,3,1,-18
Pat Connaughton,MIL,@MEM,08/13/2020,L,16,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,1,0,1,2,-13
D.J. Wilson,MIL,@MEM,08/13/2020,L,30,12,5,10,50.0,2,5,40.0,0,0,-,1,7,8,1,1,0,1,1,-9
Anthony Tolliver,MEM,vs.MIL,08/13/2020,W,20,9,3,5,60.0,3,5,60.0,0,0,-,1,3,4,2,1,0,1,1,14
Gorgui Dieng,MEM,vs.MIL,08/13/2020,W,15,7,1,6,16.7,1,3,33.3,4,4,100,1,3,4,1,0,0,1,1,-5
Dillon Brooks,MEM,vs.MIL,08/13/2020,W,33,31,12,18,66.7,4,7,57.1,3,5,60.0,0,2,2,2,0,1,1,0,27
Jonas Valanciunas,MEM,vs.MIL,08/13/2020,W,33,26,11,17,64.7,2,3,66.7,2,2,100,3,16,19,12,0,0,3,3,18
Ja Morant,MEM,vs.MIL,08/13/2020,W,34,12,5,17,29.4,0,4,0.0,2,2,100,4,9,13,10,0,0,6,3,15
John Konchar,MEM,vs.MIL,08/13/2020,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8
Eric Bledsoe,MIL,@MEM,08/13/2020,L,20,3,1,7,14.3,0,2,0.0,1,2,50.0,0,1,1,5,2,0,1,2,-17
Kyle Anderson,MEM,vs.MIL,08/13/2020,W,29,10,3,6,50.0,2,4,50.0,2,4,50.0,0,3,3,6,2,1,3,5,16
Robin Lopez,MIL,@MEM,08/13/2020,L,21,5,2,9,22.2,0,4,0.0,1,2,50.0,0,4,4,0,0,1,0,3,2
Brandon Clarke,MEM,vs.MIL,08/13/2020,W,28,10,4,9,44.4,0,2,0.0,2,4,50.0,0,7,7,1,1,1,2,3,-1
Thanasis Antetokounmpo,MIL,@MEM,08/13/2020,L,18,2,1,4,25.0,0,2,0.0,0,2,0.0,0,1,1,2,1,0,1,4,12
Frank Mason,MIL,@MEM,08/13/2020,L,26,18,7,13,53.8,3,6,50.0,1,2,50.0,2,2,4,8,1,1,1,2,5
Sterling Brown,MIL,@MEM,08/13/2020,L,19,5,1,6,16.7,1,3,33.3,2,2,100,1,4,5,2,1,0,1,1,4
Grayson Allen,MEM,vs.MIL,08/13/2020,W,27,9,4,6,66.7,1,2,50.0,0,0,-,0,1,1,0,0,0,1,1,1
Donte DiVincenzo,MIL,@MEM,08/13/2020,L,19,17,7,13,53.8,3,5,60.0,0,2,0.0,1,3,4,4,1,0,5,4,-9
J.J. Barea,DAL,@PHX,08/13/2020,L,19,9,4,12,33.3,1,5,20.0,0,0,-,0,2,2,4,0,0,1,0,-11
Tim Hardaway Jr.,DAL,@PHX,08/13/2020,L,20,8,2,8,25.0,1,3,33.3,3,4,75.0,0,2,2,0,0,0,1,2,-24
Seth Curry,DAL,@PHX,08/13/2020,L,20,8,3,9,33.3,2,3,66.7,0,0,-,1,1,2,0,0,0,0,2,-24
Delon Wright,DAL,@PHX,08/13/2020,L,22,4,2,4,50.0,0,0,-,0,0,-,0,2,2,4,1,0,1,1,-5
Boban Marjanovic,DAL,@PHX,08/13/2020,L,29,18,9,14,64.3,0,1,0.0,0,1,0.0,6,14,20,3,0,0,3,2,-12
Dorian Finney-Smith,DAL,@PHX,08/13/2020,L,11,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,1,2
Maxi Kleber,DAL,@PHX,08/13/2020,L,11,3,1,2,50.0,1,2,50.0,0,0,-,1,0,1,0,0,1,0,1,-18
Luka Doncic,DAL,@PHX,08/13/2020,L,13,18,5,9,55.6,1,2,50.0,7,7,100,1,4,5,0,1,0,1,2,-4
Ricky Rubio,PHX,vs.DAL,08/13/2020,W,21,7,2,6,33.3,2,5,40.0,1,1,100,0,2,2,12,1,0,1,1,4
Devin Booker,PHX,vs.DAL,08/13/2020,W,32,27,11,20,55.0,0,5,0.0,5,5,100,0,7,7,5,0,0,0,3,30
Deandre Ayton,PHX,vs.DAL,08/13/2020,W,26,11,5,10,50.0,0,1,0.0,1,2,50.0,3,6,9,3,2,1,0,0,19
Ty Jerome,PHX,vs.DAL,08/13/2020,W,5,4,1,3,33.3,1,2,50.0,1,2,50.0,1,1,2,1,0,0,0,0,5
Cameron Johnson,PHX,vs.DAL,08/13/2020,W,30,15,7,11,63.6,1,4,25.0,0,0,-,2,3,5,3,2,1,0,1,12
Cheick Diallo,PHX,vs.DAL,08/13/2020,W,5,6,3,4,75.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,5
Cameron Payne,PHX,vs.DAL,08/13/2020,W,29,15,5,8,62.5,3,5,60.0,2,3,66.7,1,4,5,2,0,0,1,2,20
Justin Jackson,DAL,@PHX,08/13/2020,L,29,13,5,10,50.0,1,4,25.0,2,2,100,0,2,2,0,0,0,1,0,-11
Antonius Cleveland,DAL,@PHX,08/13/2020,L,13,4,2,3,66.7,0,1,0.0,0,1,0.0,0,1,1,1,0,2,1,2,1
Mikal Bridges,PHX,vs.DAL,08/13/2020,W,28,14,6,10,60.0,2,4,50.0,0,0,-,0,4,4,3,0,1,1,2,26
