Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Ben McLemore,HOU,vs.LAL,01/10/2021,L,17,6,2,6,33.3,2,6,33.3,0,0,-,0,1,1,1,0,0,2,2,-10
Anthony Davis,LAL,@HOU,01/10/2021,W,30,27,9,12,75.0,0,1,0.0,9,10,90.0,1,3,4,1,0,3,2,4,29
John Wall,HOU,vs.LAL,01/10/2021,L,34,14,5,14,35.7,2,4,50.0,2,2,100,1,9,10,5,1,2,4,3,-28
Eric Gordon,HOU,vs.LAL,01/10/2021,L,22,4,1,4,25.0,0,2,0.0,2,4,50.0,0,2,2,1,0,0,4,2,2
Nerlens Noel,NYK,vs.DEN,01/10/2021,L,12,1,0,2,0.0,0,0,-,1,2,50.0,2,2,4,1,0,0,2,3,-17
Reggie Bullock,NYK,vs.DEN,01/10/2021,L,25,7,3,8,37.5,1,1,100,0,0,-,0,3,3,1,0,0,1,2,-2
Elfrid Payton,NYK,vs.DEN,01/10/2021,L,32,12,4,10,40.0,0,1,0.0,4,5,80.0,0,3,3,5,1,0,2,4,-6
Julius Randle,NYK,vs.DEN,01/10/2021,L,38,29,11,16,68.8,2,5,40.0,5,6,83.3,1,9,10,5,0,0,3,2,-16
Dennis Smith Jr.,NYK,vs.DEN,01/10/2021,L,6,4,1,3,33.3,0,1,0.0,2,2,100,0,0,0,1,2,0,0,0,-2
Kevin Knox II,NYK,vs.DEN,01/10/2021,L,18,6,2,6,33.3,1,3,33.3,1,1,100,0,1,1,0,0,0,2,1,-10
Mitchell Robinson,NYK,vs.DEN,01/10/2021,L,34,11,5,5,100,0,0,-,1,2,50.0,2,3,5,0,1,1,0,0,-7
Theo Pinson,NYK,vs.DEN,01/10/2021,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-1
RJ Barrett,NYK,vs.DEN,01/10/2021,L,33,9,4,13,30.8,0,3,0.0,1,3,33.3,3,6,9,4,0,0,3,1,-14
Ignas Brazdeikis,NYK,vs.DEN,01/10/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3
Immanuel Quickley,NYK,vs.DEN,01/10/2021,L,13,4,0,4,0.0,0,2,0.0,4,4,100,0,1,1,1,0,0,1,2,-14
Paul Millsap,DEN,@NYK,01/10/2021,W,21,10,3,9,33.3,2,6,33.3,2,3,66.7,0,5,5,0,2,0,1,2,0
Will Barton,DEN,@NYK,01/10/2021,W,22,5,2,7,28.6,0,2,0.0,1,2,50.0,0,2,2,4,0,0,0,1,1
JaMychal Green,DEN,@NYK,01/10/2021,W,23,10,4,5,80.0,2,2,100,0,0,-,1,7,8,1,1,0,0,2,18
Gary Harris,DEN,@NYK,01/10/2021,W,32,14,6,10,60.0,2,4,50.0,0,0,-,2,1,3,1,2,1,1,2,8
Nikola Jokic,DEN,@NYK,01/10/2021,W,30,22,9,15,60.0,1,3,33.3,3,3,100,3,7,10,5,1,1,2,1,8
Jamal Murray,DEN,@NYK,01/10/2021,W,29,9,4,9,44.4,1,4,25.0,0,0,-,0,0,0,3,0,0,0,2,11
Isaiah Hartenstein,DEN,@NYK,01/10/2021,W,12,8,3,3,100,0,0,-,2,2,100,1,1,2,1,1,0,3,6,10
PJ Dozier,DEN,@NYK,01/10/2021,W,17,12,4,6,66.7,3,4,75.0,1,2,50.0,0,5,5,2,1,1,1,3,8
Monte Morris,DEN,@NYK,01/10/2021,W,23,12,5,10,50.0,2,5,40.0,0,0,-,0,3,3,3,1,0,0,1,17
Vlatko Cancar,DEN,@NYK,01/10/2021,W,3,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,1,0,-2
Bol Bol,DEN,@NYK,01/10/2021,W,4,3,1,1,100,1,1,100,0,0,-,0,1,1,0,0,1,2,1,1
R.J. Hampton,DEN,@NYK,01/10/2021,W,4,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,1
Zeke Nnaji,DEN,@NYK,01/10/2021,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1
Markus Howard,DEN,@NYK,01/10/2021,W,3,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,1,0,0,0,1,-2
Facundo Campazzo,DEN,@NYK,01/10/2021,W,14,5,2,5,40.0,1,2,50.0,0,0,-,0,2,2,2,2,0,1,2,10
Austin Rivers,NYK,vs.DEN,01/10/2021,L,22,6,2,6,33.3,2,4,50.0,0,0,-,0,0,0,1,0,0,2,0,-16
Aleksej Pokusevski,OKC,@BKN,01/10/2021,W,14,3,1,4,25.0,1,3,33.3,0,0,-,0,3,3,0,0,0,1,0,15
Theo Maledon,OKC,@BKN,01/10/2021,W,19,3,1,7,14.3,1,4,25.0,0,0,-,0,1,1,5,2,0,0,1,17
Isaiah Roby,OKC,@BKN,01/10/2021,W,19,13,5,7,71.4,2,4,50.0,1,1,100,0,5,5,0,0,0,1,2,7
Luguentz Dort,OKC,@BKN,01/10/2021,W,25,13,4,6,66.7,2,3,66.7,3,3,100,0,3,3,0,1,0,2,3,-4
Moses Brown,OKC,@BKN,01/10/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Darius Bazley,OKC,@BKN,01/10/2021,W,33,5,2,6,33.3,1,4,25.0,0,0,-,1,4,5,2,0,2,1,1,-7
Kenrich Williams,OKC,@BKN,01/10/2021,W,13,0,0,1,0.0,0,0,-,0,0,-,1,1,2,0,0,0,0,3,15
Shai Gilgeous-Alexander,OKC,@BKN,01/10/2021,W,36,31,11,16,68.8,2,4,50.0,7,8,87.5,1,5,6,7,2,1,2,3,1
Caris LeVert,BKN,vs.OKC,01/10/2021,L,36,21,8,17,47.1,2,6,33.3,3,3,100,1,3,4,6,0,0,2,2,-5
Joe Harris,BKN,vs.OKC,01/10/2021,L,32,10,4,12,33.3,2,6,33.3,0,0,-,0,5,5,3,0,0,2,3,-2
DeAndre Jordan,BKN,vs.OKC,01/10/2021,L,10,4,2,2,100,0,0,-,0,0,-,0,1,1,0,0,0,2,1,-8
Jeff Green,BKN,vs.OKC,01/10/2021,L,25,4,2,8,25.0,0,4,0.0,0,0,-,2,2,4,1,1,0,0,1,-9
Kevin Durant,BKN,vs.OKC,01/10/2021,L,38,36,11,21,52.4,2,7,28.6,12,15,80.0,1,10,11,4,0,1,4,2,1
Taurean Prince,BKN,vs.OKC,01/10/2021,L,24,11,5,7,71.4,1,2,50.0,0,0,-,1,4,5,2,1,0,1,1,-4
Timothe Luwawu-Cabarrot,BKN,vs.OKC,01/10/2021,L,21,12,4,6,66.7,3,5,60.0,1,2,50.0,0,1,1,4,0,0,0,3,-10
Hamidou Diallo,OKC,@BKN,01/10/2021,W,24,25,10,14,71.4,1,4,25.0,4,4,100,0,3,3,4,4,0,0,4,18
George Hill,OKC,@BKN,01/10/2021,W,28,14,6,12,50.0,2,6,33.3,0,0,-,0,0,0,3,2,0,1,1,-5
Al Horford,OKC,@BKN,01/10/2021,W,28,22,9,17,52.9,3,7,42.9,1,1,100,0,6,6,3,1,1,2,4,3
Rodions Kurucs,BKN,vs.OKC,01/10/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,0,0,0,1
Landry Shamet,BKN,vs.OKC,01/10/2021,L,15,3,1,5,20.0,0,4,0.0,1,1,100,0,1,1,0,1,0,2,1,-15
Jarrett Allen,BKN,vs.OKC,01/10/2021,L,33,15,6,7,85.7,0,0,-,3,3,100,1,9,10,1,0,1,3,3,-3
Bruce Brown,BKN,vs.OKC,01/10/2021,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-4
Marcus Morris Sr.,LAC,vs.CHI,01/10/2021,W,25,11,3,8,37.5,3,5,60.0,2,2,100,2,5,7,0,0,0,1,3,1
Denzel Valentine,CHI,@LAC,01/10/2021,L,20,10,4,6,66.7,2,3,66.7,0,0,-,0,4,4,3,0,0,2,1,-8
Ivica Zubac,LAC,vs.CHI,01/10/2021,W,16,5,2,6,33.3,0,0,-,1,2,50.0,5,2,7,1,1,1,0,2,6
Luke Kennard,LAC,vs.CHI,01/10/2021,W,18,5,2,5,40.0,1,3,33.3,0,0,-,0,1,1,1,0,0,1,4,3
Daniel Gafford,CHI,@LAC,01/10/2021,L,11,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,1,2,2,1,-3
Patrick Williams,CHI,@LAC,01/10/2021,L,36,17,6,9,66.7,3,5,60.0,2,2,100,1,1,2,2,2,0,2,1,9
Kawhi Leonard,LAC,vs.CHI,01/10/2021,W,38,35,14,22,63.6,7,9,77.8,0,0,-,0,2,2,4,3,0,2,0,-3
Paul George,LAC,vs.CHI,01/10/2021,W,40,28,8,19,42.1,5,8,62.5,7,9,77.8,2,5,7,9,2,0,2,1,12
Garrett Temple,CHI,@LAC,01/10/2021,L,36,18,7,8,87.5,3,4,75.0,1,1,100,0,6,6,1,2,0,2,4,3
Thaddeus Young,CHI,@LAC,01/10/2021,L,25,14,6,7,85.7,0,0,-,2,3,66.7,0,5,5,2,0,0,0,2,-5
Lou Williams,LAC,vs.CHI,01/10/2021,W,24,21,6,10,60.0,1,2,50.0,8,9,88.9,0,1,1,4,3,0,1,1,16
Terance Mann,LAC,vs.CHI,01/10/2021,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Patrick Beverley,LAC,vs.CHI,01/10/2021,W,25,7,3,9,33.3,1,6,16.7,0,0,-,0,3,3,5,0,3,1,4,-12
Nicolas Batum,LAC,vs.CHI,01/10/2021,W,28,8,2,3,66.7,2,3,66.7,2,3,66.7,0,2,2,3,4,1,0,2,-4
Serge Ibaka,LAC,vs.CHI,01/10/2021,W,26,10,5,10,50.0,0,2,0.0,0,0,-,3,2,5,1,0,0,2,2,-2
Adam Mokoka,CHI,@LAC,01/10/2021,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Coby White,CHI,@LAC,01/10/2021,L,43,9,4,11,36.4,0,4,0.0,1,2,50.0,1,7,8,13,1,0,5,4,-2
Wendell Carter Jr.,CHI,@LAC,01/10/2021,L,27,12,4,8,50.0,0,1,0.0,4,4,100,1,4,5,2,0,0,4,2,-3
Zach LaVine,CHI,@LAC,01/10/2021,L,42,45,15,26,57.7,10,16,62.5,5,5,100,0,7,7,7,0,0,5,4,-3
Derrick Favors,UTA,@DET,01/10/2021,W,17,6,3,7,42.9,0,0,-,0,0,-,5,9,14,0,0,0,1,3,5
Bojan Bogdanovic,UTA,@DET,01/10/2021,W,29,7,3,11,27.3,0,5,0.0,1,2,50.0,0,6,6,1,0,0,0,1,11
Royce O'Neale,UTA,@DET,01/10/2021,W,33,0,0,2,0.0,0,2,0.0,0,0,-,1,7,8,4,1,0,1,3,9
Donovan Mitchell,UTA,@DET,01/10/2021,W,37,28,9,18,50.0,4,8,50.0,6,7,85.7,0,2,2,3,0,1,4,1,11
Jahlil Okafor,DET,vs.UTA,01/10/2021,L,8,6,3,3,100,0,0,-,0,0,-,0,1,1,0,0,0,2,0,-12
Josh Jackson,DET,vs.UTA,01/10/2021,L,14,2,0,5,0.0,0,3,0.0,2,2,100,1,1,2,1,2,0,0,4,0
Sekou Doumbouya,DET,vs.UTA,01/10/2021,L,5,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,1,1,-1
Wayne Ellington,DET,vs.UTA,01/10/2021,L,13,6,2,7,28.6,2,6,33.3,0,0,-,0,2,2,0,0,2,0,2,1
Jerami Grant,DET,vs.UTA,01/10/2021,L,36,28,9,19,47.4,3,6,50.0,7,8,87.5,0,4,4,4,1,1,1,0,-4
Mike Conley,UTA,@DET,01/10/2021,W,30,22,8,13,61.5,2,4,50.0,4,4,100,2,3,5,6,2,0,1,2,2
Rudy Gobert,UTA,@DET,01/10/2021,W,34,4,1,5,20.0,0,0,-,2,6,33.3,6,13,19,1,0,4,4,2,7
Joe Ingles,UTA,@DET,01/10/2021,W,24,9,3,6,50.0,2,5,40.0,1,2,50.0,0,5,5,2,0,0,0,2,7
Georges Niang,UTA,@DET,01/10/2021,W,11,2,1,5,20.0,0,4,0.0,0,0,-,0,0,0,0,0,0,0,2,-2
