Season,Team,GP,W,L,MIN,DEF_RTG,DREB,DREB%,STL,BLK,OPP_PTS_off_TOV,OPP_PTS_2nd_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2019-20,Atlanta Hawks,67,20,47,48.6,114.4,33.4,70.8,7.8,5.1,19.5,15.0,14.8,53.6
2019-20,Detroit Pistons,66,20,46,48.4,112.3,32.0,71.7,7.4,4.5,17.3,13.2,12.7,52.0
2019-20,Cleveland Cavaliers,65,19,46,48.4,114.8,33.4,73.8,6.9,3.2,20.0,12.7,14.4,53.6
2019-20,Minnesota Timberwolves,64,19,45,48.6,111.6,34.3,73.1,8.7,5.7,17.8,13.5,13.0,51.2
2019-20,Golden State Warriors,65,15,50,48.4,113.0,32.9,72.2,8.2,4.6,18.0,13.5,15.0,48.8
2020-21,Los Angeles Lakers,11,8,3,48.0,105.5,38.3,76.2,6.5,6.2,17.6,12.5,12.6,46.7
2020-21,Boston Celtics,10,7,3,48.0,110.4,33.6,73.6,9.1,6.6,17.6,13.8,13.8,46.2
2020-21,LA Clippers,11,7,4,48.0,113.3,31.6,73.9,7.5,5.0,17.0,10.2,13.5,41.3
2020-21,Philadelphia 76ers,10,7,3,48.0,104.9,37.9,74.4,8.6,6.7,20.8,12.5,17.0,43.0
2020-21,Phoenix Suns,10,7,3,48.5,106.3,34.7,75.5,5.8,4.4,15.1,12.9,13.3,45.0
2020-21,Golden State Warriors,10,6,4,48.0,111.2,35.7,70.8,7.3,6.1,19.8,14.7,15.1,41.2
2020-21,Indiana Pacers,9,6,3,48.6,108.0,34.4,74.4,9.0,5.7,15.3,10.9,11.0,49.3
2020-21,Milwaukee Bucks,10,6,4,48.0,108.2,37.2,75.0,8.8,4.5,19.1,12.3,10.5,41.6
2020-21,Orlando Magic,10,6,4,48.0,108.4,35.6,76.7,7.9,2.9,14.8,11.4,11.5,49.4
2020-21,Utah Jazz,10,6,4,48.0,109.3,38.8,75.8,5.2,5.5,18.3,11.5,12.6,48.4
2020-21,Brooklyn Nets,11,5,6,48.5,107.2,38.2,71.4,7.4,5.8,17.6,16.2,14.9,51.5
2020-21,Charlotte Hornets,10,5,5,48.0,107.8,33.7,71.7,9.5,5.2,17.7,13.0,15.6,49.0
2020-21,Cleveland Cavaliers,10,5,5,49.0,103.1,33.1,70.1,10.4,4.6,17.5,11.0,12.3,42.0
2020-21,Dallas Mavericks,9,5,4,48.6,105.5,35.2,75.3,8.3,4.0,16.7,12.9,11.3,42.2
2020-21,Denver Nuggets,10,5,5,49.0,112.2,32.6,72.2,8.0,4.3,19.4,11.1,10.7,47.2
2020-21,New York Knicks,10,5,5,48.0,107.4,36.1,72.6,6.9,4.7,18.8,12.2,13.9,46.8
2020-21,Oklahoma City Thunder,9,5,4,48.0,107.9,37.7,74.9,7.0,5.2,17.0,11.8,10.2,52.0
2020-21,Portland Trail Blazers,9,5,4,48.6,111.6,36.4,75.2,8.4,4.1,13.9,13.7,15.6,47.1
2020-21,San Antonio Spurs,10,5,5,48.5,110.1,36.1,75.7,6.6,5.1,12.2,14.1,13.0,50.6
2020-21,Atlanta Hawks,9,4,5,48.0,109.6,36.6,74.0,6.3,3.6,15.9,12.7,11.0,48.0
2020-21,Chicago Bulls,11,4,7,48.0,115.9,35.0,75.4,7.5,3.6,20.4,12.1,11.9,42.9
2020-21,Miami Heat,8,4,4,48.0,107.6,37.8,74.1,7.3,3.6,20.6,12.8,13.4,38.0
2020-21,New Orleans Pelicans,9,4,5,48.6,106.7,37.1,78.1,8.6,3.9,20.2,11.7,14.6,39.8
2020-21,Sacramento Kings,10,4,6,48.5,116.6,33.4,75.7,6.5,5.3,18.9,11.6,13.6,53.0
2020-21,Houston Rockets,8,3,5,48.6,110.9,34.5,69.9,7.3,7.0,19.5,14.5,16.1,50.5
2020-21,Memphis Grizzlies,9,3,6,48.6,108.1,36.0,75.1,9.6,5.1,19.1,9.3,14.1,45.8
2020-21,Minnesota Timberwolves,10,3,7,48.5,114.8,33.2,70.9,7.9,4.9,19.2,13.6,15.5,52.2
2020-21,Detroit Pistons,10,2,8,49.5,111.9,32.6,72.6,8.4,4.5,15.4,12.2,13.0,47.4
2020-21,Toronto Raptors,9,2,7,48.0,110.5,33.7,71.0,8.7,6.1,17.4,14.1,12.8,40.4
2020-21,Washington Wizards,10,2,8,48.0,114.7,33.2,75.4,7.7,3.5,17.4,11.4,10.5,47.4
