Date,Player,Team,Match-up,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
2021-01-08,Terence Davis,TOR,@SAC,W,22,18,7,13,53.8,4,8,50.0,0,0,-,0,1,1,3,0,0,1,1,25,2020-21
2021-01-08,Chris Boucher,TOR,@SAC,W,29,23,9,12,75.0,2,4,50.0,3,5,60.0,4,6,10,2,1,3,0,2,14,2020-21
2021-01-08,Fred VanVleet,TOR,@SAC,W,33,34,13,22,59.1,5,9,55.6,3,3,100,1,2,3,7,1,0,3,1,13,2020-21
2021-01-08,Norman Powell,TOR,@SAC,W,27,22,6,8,75.0,4,5,80.0,6,6,100,0,2,2,0,2,0,1,0,4,2020-21
2021-01-08,Alex Len,TOR,@SAC,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-12,2020-21
2021-01-08,Tyrese Haliburton,SAC,vs.TOR,L,29,15,5,10,50.0,5,7,71.4,0,0,-,0,2,2,8,2,1,1,0,-15,2020-21
2021-01-08,Justin James,SAC,vs.TOR,L,6,2,1,3,33.3,0,1,0.0,0,4,0.0,1,0,1,0,1,0,0,0,3,2020-21
2021-01-08,Marvin Bagley III,SAC,vs.TOR,L,29,15,6,9,66.7,1,3,33.3,2,5,40.0,2,2,4,2,0,1,0,3,-13,2020-21
2021-01-08,Glenn Robinson III,SAC,vs.TOR,L,17,9,3,5,60.0,1,3,33.3,2,2,100,0,2,2,1,0,0,0,2,-5,2020-21
2021-01-08,Nemanja Bjelica,SAC,vs.TOR,L,10,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,1,0,0,1,0,-16,2020-21
2021-01-08,Pascal Siakam,TOR,@SAC,W,33,17,7,11,63.6,1,2,50.0,2,2,100,3,6,9,12,1,1,2,5,17,2020-21
2021-01-08,Robert Woodard II,SAC,vs.TOR,L,4,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,3,2020-21
2021-01-08,Jahmi'us Ramsey,SAC,vs.TOR,L,5,0,0,2,0.0,0,2,0.0,0,0,-,0,3,3,1,0,1,1,0,1,2020-21
2021-01-08,Kyle Guy,SAC,vs.TOR,L,6,3,1,3,33.3,1,1,100,0,0,-,0,0,0,1,1,0,0,0,3,2020-21
2021-01-08,Jordan Nwora,MIL,vs.UTA,L,7,4,1,1,100,0,0,-,2,2,100,0,1,1,0,0,0,2,1,-1,2020-21
2021-01-08,Donovan Mitchell,UTA,@MIL,W,32,32,12,24,50.0,4,9,44.4,4,6,66.7,1,4,5,7,0,1,1,2,15,2020-21
2021-01-08,Bryn Forbes,MIL,vs.UTA,L,15,2,1,5,20.0,0,3,0.0,0,0,-,0,1,1,0,0,0,2,2,-6,2020-21
2021-01-08,Royce O'Neale,UTA,@MIL,W,34,18,6,8,75.0,6,8,75.0,0,0,-,1,7,8,6,3,1,1,3,7,2020-21
2021-01-08,Bobby Portis,MIL,vs.UTA,L,20,2,1,5,20.0,0,0,-,0,0,-,3,5,8,0,0,0,1,1,-10,2020-21
2021-01-08,Thanasis Antetokounmpo,MIL,vs.UTA,L,13,2,1,2,50.0,0,1,0.0,0,0,-,3,2,5,0,0,0,0,3,-12,2020-21
2021-01-08,Rudy Gobert,UTA,@MIL,W,33,9,4,9,44.4,0,0,-,1,4,25.0,4,10,14,0,1,4,2,1,13,2020-21
2021-01-08,Bojan Bogdanovic,UTA,@MIL,W,30,20,7,16,43.8,4,10,40.0,2,2,100,1,4,5,3,0,0,3,4,9,2020-21
2021-01-08,Mike Conley,UTA,@MIL,W,29,17,6,12,50.0,5,10,50.0,0,0,-,0,3,3,10,0,0,2,0,-1,2020-21
2021-01-08,Georges Niang,UTA,@MIL,W,14,3,1,3,33.3,1,3,33.3,0,0,-,0,2,2,0,1,0,0,0,2,2020-21
2021-01-08,Jordan Clarkson,UTA,@MIL,W,35,26,10,20,50.0,5,12,41.7,1,1,100,1,5,6,2,0,1,1,3,16,2020-21
