Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
Tyler Herro,MIA,@IND,2020-08-14,L,28,16,6,16,37.5,3,8,37.5,1,1,100,1,0,1,3,0,0,3,2,-10,0,0,21.75
Justin Holiday,IND,vs.MIA,2020-08-14,W,24,11,3,5,60.0,3,5,60.0,2,2,100,0,7,7,0,1,0,2,3,7,0,0,22.25
JaKarr Sampson,IND,vs.MIA,2020-08-14,W,23,10,5,9,55.6,0,0,-,0,0,-,1,3,4,2,2,0,2,1,5,0,0,21.0
Edmond Sumner,IND,vs.MIA,2020-08-14,W,31,7,3,7,42.9,0,3,0.0,1,1,100,0,2,2,6,0,0,2,4,15,0,0,17.5
Naz Mitrou-Long,IND,vs.MIA,2020-08-14,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,1,1,0,0,0,1.0
Brian Bowen II,IND,vs.MIA,2020-08-14,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0,0,0,2.0
Aaron Holiday,IND,vs.MIA,2020-08-14,W,17,11,5,7,71.4,1,3,33.3,0,0,-,0,2,2,2,3,0,2,2,2,0,0,22.0
Alize Johnson,IND,vs.MIA,2020-08-14,W,38,11,3,8,37.5,2,5,40.0,3,4,75.0,7,10,17,4,0,1,3,3,10,1,0,41.25
Goga Bitadze,IND,vs.MIA,2020-08-14,W,16,4,2,5,40.0,0,2,0.0,0,0,-,1,2,3,2,1,2,2,3,9,0,0,15.75
Malcolm Brogdon,IND,vs.MIA,2020-08-14,W,25,16,6,14,42.9,4,7,57.1,0,0,-,2,4,6,6,0,0,3,3,5,0,0,33.0
TJ Leaf,IND,vs.MIA,2020-08-14,W,18,6,3,9,33.3,0,2,0.0,0,1,0.0,0,3,3,1,2,0,0,2,10,0,0,15.25
Kendrick Nunn,MIA,@IND,2020-08-14,L,33,23,8,27,29.6,1,9,11.1,6,6,100,1,1,2,4,3,1,5,1,-21,0,0,37.5
Kyle Alexander,MIA,@IND,2020-08-14,L,12,2,1,1,100,0,0,-,0,0,-,1,1,2,0,0,0,1,1,-3,0,0,4.0
Meyers Leonard,MIA,@IND,2020-08-14,L,29,9,3,7,42.9,2,5,40.0,1,2,50.0,2,5,7,0,0,0,3,0,-10,0,0,17.25
Chris Silva,MIA,@IND,2020-08-14,L,24,5,2,4,50.0,0,0,-,1,4,25.0,4,7,11,1,0,3,1,3,-12,0,0,25.75
Solomon Hill,MIA,@IND,2020-08-14,L,41,21,5,13,38.5,1,4,25.0,10,12,83.3,2,5,7,3,1,0,3,2,-8,0,0,35.25
Doug McDermott,IND,vs.MIA,2020-08-14,W,22,23,8,16,50.0,5,11,45.5,2,3,66.7,1,3,4,0,1,0,0,2,10,0,0,32.5
T.J. McConnell,IND,vs.MIA,2020-08-14,W,21,8,4,8,50.0,0,0,-,0,0,-,0,3,3,8,1,0,2,2,12,0,0,24.75
Udonis Haslem,MIA,@IND,2020-08-14,L,24,7,3,5,60.0,1,1,100,0,0,-,1,7,8,0,0,0,1,3,-5,0,0,17.0
Paul Millsap,DEN,@TOR,2020-08-14,L,16,10,4,8,50.0,2,3,66.7,0,0,-,1,2,3,2,2,1,1,2,-4,0,0,23.25
Mason Plumlee,DEN,@TOR,2020-08-14,L,20,10,4,6,66.7,0,0,-,2,3,66.7,1,2,3,2,0,4,0,2,-3,0,0,24.75
Troy Daniels,DEN,@TOR,2020-08-14,L,28,10,4,11,36.4,2,8,25.0,0,0,-,0,3,3,1,1,0,3,3,-2,0,0,16.75
Jerami Grant,DEN,@TOR,2020-08-14,L,18,2,1,6,16.7,0,3,0.0,0,0,-,1,1,2,1,0,0,0,0,2,0,0,6.0
Noah Vonleh,DEN,@TOR,2020-08-14,L,7,2,1,2,50.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,0,3.5
Nikola Jokic,DEN,@TOR,2020-08-14,L,10,2,1,1,100,0,0,-,0,0,-,0,1,1,2,0,0,1,0,-6,0,0,5.75
Jamal Murray,DEN,@TOR,2020-08-14,L,10,11,4,5,80.0,3,3,100,0,0,-,0,0,0,1,1,0,0,2,-6,0,0,16.0
Monte Morris,DEN,@TOR,2020-08-14,L,30,16,4,14,28.6,2,7,28.6,6,6,100,0,6,6,4,0,1,2,0,-7,0,0,31.5
Torrey Craig,DEN,@TOR,2020-08-14,L,15,3,1,6,16.7,1,3,33.3,0,0,-,1,3,4,3,0,0,1,0,-6,0,0,12.5
Keita Bates-Diop,DEN,@TOR,2020-08-14,L,24,11,3,11,27.3,1,4,25.0,4,4,100,2,4,6,0,1,2,2,3,-1,0,0,24.0
Marc Gasol,TOR,vs.DEN,2020-08-14,W,17,2,1,3,33.3,0,1,0.0,0,0,-,0,3,3,5,1,1,2,2,-2,0,0,16.25
Rondae Hollis-Jefferson,TOR,vs.DEN,2020-08-14,W,22,6,3,9,33.3,0,0,-,0,1,0.0,2,4,6,3,0,1,1,1,11,0,0,19.5
Norman Powell,TOR,vs.DEN,2020-08-14,W,23,15,6,9,66.7,3,5,60.0,0,0,-,1,5,6,2,1,1,3,2,-3,0,0,29.5
Matt Thomas,TOR,vs.DEN,2020-08-14,W,28,12,4,6,66.7,2,3,66.7,2,2,100,1,2,3,2,1,0,2,4,7,0,0,20.75
Stanley Johnson,TOR,vs.DEN,2020-08-14,W,29,23,9,16,56.3,4,8,50.0,1,3,33.3,0,4,4,6,1,1,5,5,5,0,0,40.5
Malcolm Miller,TOR,vs.DEN,2020-08-14,W,26,10,4,5,80.0,2,3,66.7,0,0,-,1,0,1,3,1,0,0,4,3,0,0,18.75
PJ Dozier,DEN,@TOR,2020-08-14,L,31,20,6,9,66.7,5,6,83.3,3,3,100,0,5,5,8,2,0,1,0,-5,0,0,44.25
Chris Boucher,TOR,vs.DEN,2020-08-14,W,22,9,3,8,37.5,1,3,33.3,2,3,66.7,4,5,9,0,0,1,1,2,5,0,0,22.25
Paul Watson,TOR,vs.DEN,2020-08-14,W,27,22,8,13,61.5,4,6,66.7,2,3,66.7,0,6,6,2,1,0,1,2,8,0,0,36.0
Terence Davis,TOR,vs.DEN,2020-08-14,W,34,14,5,15,33.3,2,6,33.3,2,2,100,1,5,6,3,2,0,3,2,6,0,0,29.5
Tyler Cook,DEN,@TOR,2020-08-14,L,16,4,1,2,50.0,0,0,-,2,2,100,2,2,4,0,2,0,2,1,-3,0,0,12.0
Bol Bol,DEN,@TOR,2020-08-14,L,15,8,2,6,33.3,0,1,0.0,4,5,80.0,1,3,4,2,0,3,2,2,1,0,0,21.0
Dewan Hernandez,TOR,vs.DEN,2020-08-14,W,13,4,2,6,33.3,0,0,-,0,0,-,3,4,7,1,0,0,1,0,0,0,0,13.75
Timothe Luwawu-Cabarrot,BKN,vs.POR,2020-08-13,L,32,19,7,13,53.8,5,9,55.6,0,0,-,2,6,8,1,0,0,2,5,6,0,0,32.0
Garrett Temple,BKN,vs.POR,2020-08-13,L,37,15,4,10,40.0,3,7,42.9,4,4,100,1,9,10,4,0,0,0,2,12,1,0,36.5
Justin Anderson,BKN,vs.POR,2020-08-13,L,6,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,1,2,-6,0,0,4.25
Mario Hezonja,POR,@BKN,2020-08-13,W,11,2,1,5,20.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,0,-6,0,0,2.75
Zach Collins,POR,@BKN,2020-08-13,W,17,2,1,7,14.3,0,2,0.0,0,0,-,3,3,6,0,0,0,0,0,-4,0,0,9.5
Anfernee Simons,POR,@BKN,2020-08-13,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,1,0,0,1.25
Carmelo Anthony,POR,@BKN,2020-08-13,W,37,9,4,12,33.3,1,4,25.0,0,0,-,3,4,7,1,1,0,2,5,13,0,0,20.75
Lance Thomas,BKN,vs.POR,2020-08-13,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-11,0,0,1.25
Damian Lillard,POR,@BKN,2020-08-13,W,44,42,13,22,59.1,8,14,57.1,8,9,88.9,0,3,3,12,2,0,1,1,-1,1,0,72.75
CJ McCollum,POR,@BKN,2020-08-13,W,44,25,9,21,42.9,0,6,0.0,7,8,87.5,1,3,4,7,3,1,2,3,7,0,0,47.5
Joe Harris,BKN,vs.POR,2020-08-13,L,34,19,9,14,64.3,1,4,25.0,0,0,-,1,2,3,4,0,0,3,5,-20,0,0,27.75
Jusuf Nurkic,POR,@BKN,2020-08-13,W,33,22,11,17,64.7,0,0,-,0,1,0.0,2,8,10,3,1,0,1,5,10,1,0,42.0
Tyler Johnson,BKN,vs.POR,2020-08-13,L,24,16,7,13,53.8,2,4,50.0,0,0,-,0,1,1,2,1,0,0,2,4,0,0,23.25
Gary Trent Jr.,POR,@BKN,2020-08-13,W,37,16,6,13,46.2,4,10,40.0,0,0,-,0,1,1,1,2,1,1,5,-6,0,0,26.25
Hassan Whiteside,POR,@BKN,2020-08-13,W,15,16,5,6,83.3,0,0,-,6,6,100,5,4,9,1,1,2,1,2,-9,0,0,34.25
Jeremiah Martin,BKN,vs.POR,2020-08-13,L,9,2,1,2,50.0,0,0,-,0,0,-,0,0,0,2,2,0,0,1,-14,0,0,9.0
Jarrett Allen,BKN,vs.POR,2020-08-13,L,37,14,5,8,62.5,0,0,-,4,9,44.4,6,5,11,4,0,3,1,1,16,1,0,40.75
Rodions Kurucs,BKN,vs.POR,2020-08-13,L,23,8,3,5,60.0,1,2,50.0,1,2,50.0,1,4,5,2,0,1,1,4,4,0,0,19.25
Caris LeVert,BKN,vs.POR,2020-08-13,L,33,37,16,29,55.2,1,5,20.0,4,4,100,1,5,6,9,2,1,6,1,4,0,0,61.5
Melvin Frazier Jr.,ORL,vs.NOP,2020-08-13,W,24,10,4,8,50.0,2,4,50.0,0,0,-,0,3,3,2,1,0,2,0,-16,0,0,18.75
Josh Hart,NOP,@ORL,2020-08-13,L,36,23,7,14,50.0,3,9,33.3,6,8,75.0,1,13,14,6,1,1,2,0,-8,1,0,55.5
Nickeil Alexander-Walker,NOP,@ORL,2020-08-13,L,36,29,11,18,61.1,2,6,33.3,5,5,100,1,0,1,7,1,0,6,4,-11,0,0,40.75
Nicolo Melli,NOP,@ORL,2020-08-13,L,25,6,2,6,33.3,1,5,20.0,1,1,100,0,5,5,1,0,0,0,1,-11,0,0,14.25
Nikola Vucevic,ORL,vs.NOP,2020-08-13,W,26,23,10,11,90.9,3,4,75.0,0,0,-,0,6,6,3,1,0,0,0,18,0,0,38.5
James Ennis III,ORL,vs.NOP,2020-08-13,W,31,16,6,11,54.5,2,4,50.0,2,2,100,1,3,4,0,2,0,2,5,14,0,0,25.0
Markelle Fultz,ORL,vs.NOP,2020-08-13,W,25,11,5,12,41.7,0,1,0.0,1,2,50.0,1,0,1,5,1,0,0,1,19,0,0,21.75
Wes Iwundu,ORL,vs.NOP,2020-08-13,W,27,15,4,5,80.0,2,2,100,5,7,71.4,0,4,4,6,0,0,2,1,11,0,0,29.0
BJ Johnson,ORL,vs.NOP,2020-08-13,W,17,9,2,6,33.3,2,2,100,3,4,75.0,0,2,2,0,0,0,1,2,8,0,0,12.0
Jaxson Hayes,NOP,@ORL,2020-08-13,L,31,13,5,7,71.4,0,0,-,3,4,75.0,2,2,4,0,0,1,1,4,-13,0,0,19.5
Jahlil Okafor,NOP,@ORL,2020-08-13,L,17,8,4,7,57.1,0,1,0.0,0,0,-,1,3,4,0,0,1,1,2,7,0,0,14.5
