Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
OG Anunoby,TOR,@BOS,2019-12-28,W,15,7,3,4,75.0,1,2,50.0,0,0,-,0,4,4,0,0,0,5,6,9,0,0,10.0
Chris Boucher,TOR,@BOS,2019-12-28,W,16,6,3,4,75.0,0,1,0.0,0,0,-,2,2,4,3,0,1,0,3,19,0,0,17.5
Kemba Walker,BOS,vs.TOR,2019-12-28,L,39,30,11,23,47.8,3,11,27.3,5,6,83.3,0,2,2,2,2,0,1,0,-15,0,0,40.5
Brad Wanamaker,BOS,vs.TOR,2019-12-28,L,14,2,0,3,0.0,0,1,0.0,2,2,100,1,2,3,0,1,1,1,1,-5,0,0,9.25
Javonte Green,BOS,vs.TOR,2019-12-28,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2,0,0,0.0
Romeo Langford,BOS,vs.TOR,2019-12-28,L,4,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,-2,0,0,0.0
Carsen Edwards,BOS,vs.TOR,2019-12-28,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-2,0,0,0.0
Jaylen Brown,BOS,vs.TOR,2019-12-28,L,37,17,5,12,41.7,1,2,50.0,6,8,75.0,1,4,5,1,3,0,3,2,-17,0,0,29.75
Jayson Tatum,BOS,vs.TOR,2019-12-28,L,36,12,3,7,42.9,0,2,0.0,6,8,75.0,0,3,3,4,1,0,6,3,3,0,0,20.75
Daniel Theis,BOS,vs.TOR,2019-12-28,L,18,4,2,3,66.7,0,0,-,0,0,-,0,2,2,3,0,1,0,2,-17,0,0,13.0
Gordon Hayward,BOS,vs.TOR,2019-12-28,L,35,13,3,13,23.1,1,7,14.3,6,6,100,2,4,6,3,1,2,0,1,-7,0,0,31.5
Terence Davis,TOR,@BOS,2019-12-28,W,22,7,3,5,60.0,1,3,33.3,0,0,-,3,4,7,2,0,0,2,1,10,0,0,18.25
Enes Kanter,BOS,vs.TOR,2019-12-28,L,17,11,5,5,100,1,1,100,0,0,-,2,4,6,1,0,0,1,2,-3,0,0,20.0
Oshae Brissett,TOR,@BOS,2019-12-28,W,15,4,2,5,40.0,0,1,0.0,0,0,-,3,3,6,2,0,0,1,4,7,0,0,14.0
Serge Ibaka,TOR,@BOS,2019-12-28,W,30,20,9,14,64.3,1,3,33.3,1,4,25.0,4,6,10,0,0,0,2,5,-3,1,0,33.5
Grant Williams,BOS,vs.TOR,2019-12-28,L,13,1,0,0,-,0,0,-,1,2,50.0,0,1,1,2,0,0,1,3,-13,0,0,4.75
Patrick McCaw,TOR,@BOS,2019-12-28,W,43,18,8,12,66.7,2,4,50.0,0,0,-,1,6,7,8,1,1,2,1,9,0,0,42.75
Marcus Smart,BOS,vs.TOR,2019-12-28,L,23,7,2,9,22.2,1,5,20.0,2,4,50.0,1,2,3,2,3,0,1,2,0,0,0,19.75
Kyle Lowry,TOR,@BOS,2019-12-28,W,39,30,10,17,58.8,5,10,50.0,5,6,83.3,0,4,4,7,2,0,6,4,9,0,0,49.0
Bruno Fernando,ATL,@CHI,2019-12-28,L,14,4,2,6,33.3,0,1,0.0,0,0,-,1,0,1,0,1,0,0,3,-9,0,0,7.25
Kris Dunn,CHI,vs.ATL,2019-12-28,W,30,4,2,6,33.3,0,0,-,0,0,-,0,2,2,4,3,0,1,1,20,0,0,18.0
Daniel Gafford,CHI,vs.ATL,2019-12-28,W,17,6,3,5,60.0,0,0,-,0,0,-,2,2,4,0,0,2,2,2,4,0,0,14.0
Allen Crabbe,ATL,@CHI,2019-12-28,L,23,5,2,8,25.0,1,7,14.3,0,0,-,0,2,2,3,1,0,2,2,-9,0,0,13.5
Cam Reddish,ATL,@CHI,2019-12-28,L,28,2,1,5,20.0,0,3,0.0,0,0,-,1,4,5,6,2,0,1,0,-21,0,0,20.75
Thaddeus Young,CHI,vs.ATL,2019-12-28,W,23,10,3,7,42.9,1,2,50.0,3,4,75.0,1,5,6,1,2,0,1,2,14,0,0,23.0
DeAndre' Bembry,ATL,@CHI,2019-12-28,L,22,5,2,5,40.0,1,2,50.0,0,0,-,1,4,5,0,2,0,3,3,-25,0,0,14.25
Kevin Huerter,ATL,@CHI,2019-12-28,L,30,6,2,12,16.7,0,5,0.0,2,2,100,0,1,1,4,0,0,3,2,-28,0,0,11.75
Coby White,CHI,vs.ATL,2019-12-28,W,26,18,8,11,72.7,2,3,66.7,0,0,-,1,4,5,0,0,0,5,1,14,0,0,22.75
Alex Len,ATL,@CHI,2019-12-28,L,20,10,4,4,100,2,2,100,0,3,0.0,0,5,5,2,0,0,1,3,-12,0,0,19.75
Denzel Valentine,CHI,vs.ATL,2019-12-28,W,17,5,2,4,50.0,1,2,50.0,0,0,-,0,2,2,1,1,1,1,1,7,0,0,13.0
Tomas Satoransky,CHI,vs.ATL,2019-12-28,W,30,11,5,8,62.5,1,2,50.0,0,1,0.0,2,6,8,6,3,0,2,1,24,0,0,35.5
Wendell Carter Jr.,CHI,vs.ATL,2019-12-28,W,26,13,4,8,50.0,2,3,66.7,3,4,75.0,3,5,8,4,0,0,2,2,24,0,0,29.0
Shaquille Harrison,CHI,vs.ATL,2019-12-28,W,5,2,0,3,0.0,0,0,-,2,2,100,0,2,2,1,2,1,0,2,7,0,0,12.0
Ryan Arcidiacono,CHI,vs.ATL,2019-12-28,W,6,0,0,3,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,9,0,0,0.0
Adam Mokoka,CHI,vs.ATL,2019-12-28,W,3,0,0,2,0.0,0,0,-,0,0,-,2,0,2,0,0,0,0,0,0,0,0,2.5
Luke Kornet,CHI,vs.ATL,2019-12-28,W,5,3,1,1,100,1,1,100,0,0,-,0,1,1,0,0,1,0,0,7,0,0,6.75
Lauri Markkanen,CHI,vs.ATL,2019-12-28,W,22,25,8,14,57.1,4,9,44.4,5,6,83.3,2,2,4,1,0,0,1,3,21,0,0,33.0
Vince Carter,ATL,@CHI,2019-12-28,L,12,2,0,4,0.0,0,3,0.0,2,2,100,0,4,4,1,0,1,2,0,1,0,0,9.5
Evan Turner,ATL,@CHI,2019-12-28,L,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,1,1,0,0,0,2.25
Damian Jones,ATL,@CHI,2019-12-28,L,11,2,1,1,100,0,0,-,0,0,-,1,2,3,1,1,0,0,0,-10,0,0,9.25
John Collins,ATL,@CHI,2019-12-28,L,33,34,14,26,53.8,2,6,33.3,4,4,100,4,4,8,2,1,3,2,0,-23,0,0,55.0
Brandon Goodwin,ATL,@CHI,2019-12-28,L,12,5,2,5,40.0,1,1,100,0,0,-,1,0,1,1,0,1,0,1,-10,0,0,10.25
De'Andre Hunter,ATL,@CHI,2019-12-28,L,30,6,2,9,22.2,2,4,50.0,0,0,-,0,3,3,3,0,0,4,1,-29,0,0,13.25
Zach LaVine,CHI,vs.ATL,2019-12-28,W,30,19,7,15,46.7,3,7,42.9,2,2,100,0,7,7,4,2,0,2,0,24,0,0,38.25
DeMar DeRozan,SAS,vs.DET,2019-12-28,W,32,29,13,16,81.3,0,0,-,3,5,60.0,0,5,5,8,0,0,2,3,38,0,0,46.25
Bruce Brown,DET,@SAS,2019-12-28,L,33,11,4,7,57.1,1,2,50.0,2,6,33.3,0,4,4,3,2,1,2,2,-10,0,0,26.0
Marco Belinelli,SAS,vs.DET,2019-12-28,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0.0
Derrick White,SAS,vs.DET,2019-12-28,W,20,4,1,6,16.7,1,5,20.0,1,2,50.0,1,1,2,5,0,0,1,2,3,0,0,14.0
Jakob Poeltl,SAS,vs.DET,2019-12-28,W,23,4,1,2,50.0,0,0,-,2,2,100,0,9,9,1,2,2,1,1,-4,0,0,24.25
Thon Maker,DET,@SAS,2019-12-28,L,5,2,1,4,25.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-3,0,0,2.0
Rudy Gay,SAS,vs.DET,2019-12-28,W,20,16,6,9,66.7,4,7,57.1,0,0,-,0,7,7,1,1,1,2,3,7,0,0,31.25
Derrick Rose,DET,@SAS,2019-12-28,L,27,24,10,17,58.8,2,4,50.0,2,2,100,0,3,3,4,4,0,4,0,-11,0,0,40.75
Patty Mills,SAS,vs.DET,2019-12-28,W,15,8,3,10,30.0,2,6,33.3,0,0,-,0,2,2,3,0,0,0,0,1,0,0,16.0
Langston Galloway,DET,@SAS,2019-12-28,L,27,15,6,9,66.7,3,5,60.0,0,0,-,1,2,3,1,0,0,0,2,-11,0,0,21.75
LaMarcus Aldridge,SAS,vs.DET,2019-12-28,W,30,25,9,19,47.4,5,6,83.3,2,2,100,3,9,12,1,1,2,1,3,35,1,0,51.0
Andre Drummond,DET,@SAS,2019-12-28,L,37,21,7,16,43.8,0,1,0.0,7,12,58.3,5,13,18,3,1,4,0,2,-29,1,0,59.5
Trey Lyles,SAS,vs.DET,2019-12-28,W,20,5,2,4,50.0,1,2,50.0,0,0,-,1,2,3,3,1,2,0,2,16,0,0,19.75
Dejounte Murray,SAS,vs.DET,2019-12-28,W,28,13,5,8,62.5,2,3,66.7,1,1,100,0,4,4,5,2,0,2,2,24,0,0,29.5
Bryn Forbes,SAS,vs.DET,2019-12-28,W,30,18,6,8,75.0,3,5,60.0,3,3,100,0,3,3,3,1,0,1,1,26,0,0,29.25
Drew Eubanks,SAS,vs.DET,2019-12-28,W,3,6,3,3,100,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0,9.75
Tony Snell,DET,@SAS,2019-12-28,L,19,3,1,4,25.0,1,4,25.0,0,0,-,0,1,1,1,1,0,0,2,-18,0,0,8.25
Svi Mykhailiuk,DET,@SAS,2019-12-28,L,14,5,2,4,50.0,1,3,33.3,0,0,-,0,1,1,0,1,0,2,1,-15,0,0,7.75
Louis King,DET,@SAS,2019-12-28,L,3,5,2,3,66.7,1,2,50.0,0,0,-,1,0,1,1,0,0,1,0,0,0,0,7.75
Blake Griffin,DET,@SAS,2019-12-28,L,29,12,3,16,18.8,3,10,30.0,3,4,75.0,0,2,2,2,0,0,0,2,-19,0,0,19.0
Christian Wood,DET,@SAS,2019-12-28,L,23,4,1,4,25.0,0,3,0.0,2,4,50.0,3,3,6,1,0,0,0,0,-1,0,0,13.0
Lonnie Walker IV,SAS,vs.DET,2019-12-28,W,16,8,4,8,50.0,0,1,0.0,0,0,-,1,0,1,0,0,0,1,3,-11,0,0,8.75
Tim Frazier,DET,@SAS,2019-12-28,L,22,7,3,6,50.0,0,1,0.0,1,2,50.0,0,1,1,4,0,0,2,4,-18,0,0,13.25
Kristaps Porzingis,DAL,@GSW,2019-12-28,W,26,18,6,12,50.0,4,9,44.4,2,2,100,0,7,7,3,0,4,5,3,12,0,0,38.75
Glenn Robinson III,GSW,vs.DAL,2019-12-28,L,29,8,3,10,30.0,1,5,20.0,1,2,50.0,1,2,3,2,0,0,0,1,-10,0,0,15.25
Boban Marjanovic,DAL,@GSW,2019-12-28,W,2,0,0,3,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,1,-7,0,0,0.0
Dorian Finney-Smith,DAL,@GSW,2019-12-28,W,29,8,3,6,50.0,1,1,100,1,1,100,1,3,4,3,0,0,0,0,26,0,0,18.0
Maxi Kleber,DAL,@GSW,2019-12-28,W,21,8,3,5,60.0,2,3,66.7,0,0,-,0,4,4,2,1,1,2,2,14,0,0,20.0
Jalen Brunson,DAL,@GSW,2019-12-28,W,12,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,2,0,0,0,2,-8,0,0,6.25
Luka Doncic,DAL,@GSW,2019-12-28,W,30,31,8,16,50.0,5,8,62.5,10,10,100,2,10,12,15,2,0,3,0,20,1,1,78.0
Ryan Broekhoff,DAL,@GSW,2019-12-28,W,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,1,0,0,0,-5,0,0,3.25
Draymond Green,GSW,vs.DAL,2019-12-28,L,27,10,4,10,40.0,2,5,40.0,0,0,-,0,3,3,8,1,0,3,3,-22,0,0,27.25
Willie Cauley-Stein,GSW,vs.DAL,2019-12-28,L,19,4,2,5,40.0,0,0,-,0,0,-,1,4,5,1,0,1,2,3,-6,0,0,12.75
Marquese Chriss,GSW,vs.DAL,2019-12-28,L,17,16,5,9,55.6,0,0,-,6,8,75.0,2,3,5,2,0,2,0,0,2,0,0,29.25
Tim Hardaway Jr.,DAL,@GSW,2019-12-28,W,23,25,9,13,69.2,6,8,75.0,1,1,100,0,0,0,1,0,0,1,0,19,0,0,29.0
Damion Lee,GSW,vs.DAL,2019-12-28,L,33,18,7,13,53.8,3,4,75.0,1,2,50.0,3,9,12,2,0,0,1,2,-11,1,0,38.5
Ky Bowman,GSW,vs.DAL,2019-12-28,L,23,5,2,5,40.0,1,3,33.3,0,0,-,1,1,2,5,0,0,0,3,-15,0,0,15.5
Justin Jackson,DAL,@GSW,2019-12-28,W,21,9,3,9,33.3,1,5,20.0,2,2,100,1,4,5,1,0,0,0,3,8,0,0,17.25
D'Angelo Russell,GSW,vs.DAL,2019-12-28,L,30,35,13,21,61.9,9,14,64.3,0,0,-,0,4,4,6,0,0,2,2,-12,0,0,52.5
Delon Wright,DAL,@GSW,2019-12-28,W,22,13,6,7,85.7,1,2,50.0,0,0,-,0,3,3,4,3,1,0,0,1,0,0,31.25
Jacob Evans,GSW,vs.DAL,2019-12-28,L,16,4,2,6,33.3,0,1,0.0,0,0,-,1,2,3,1,0,0,4,0,1,0,0,7.25
Dwight Powell,DAL,@GSW,2019-12-28,W,24,10,4,5,80.0,0,0,-,2,2,100,5,3,8,3,2,1,2,4,19,0,0,29.5
Seth Curry,DAL,@GSW,2019-12-28,W,25,17,5,13,38.5,4,11,36.4,3,3,100,0,1,1,1,2,0,0,2,1,0,0,25.75
Alec Burks,GSW,vs.DAL,2019-12-28,L,26,16,5,11,45.5,2,6,33.3,4,4,100,0,0,0,0,3,0,1,2,-21,0,0,22.5
Alen Smailagic,GSW,vs.DAL,2019-12-28,L,20,5,2,3,66.7,0,1,0.0,1,1,100,0,5,5,1,0,0,0,3,-6,0,0,12.75
Cody Zeller,CHA,vs.OKC,2019-12-27,L,24,8,4,9,44.4,0,2,0.0,0,0,-,3,5,8,1,2,0,2,6,-7,0,0,22.5
Dennis Schroder,OKC,@CHA,2019-12-27,W,35,24,10,17,58.8,3,8,37.5,1,4,25.0,0,2,2,3,0,0,3,2,13,0,0,31.0
Steven Adams,OKC,@CHA,2019-12-27,W,34,14,6,9,66.7,0,0,-,2,4,50.0,4,8,12,3,2,2,2,2,1,1,0,42.0
Terry Rozier,CHA,vs.OKC,2019-12-27,L,36,26,10,18,55.6,3,9,33.3,3,4,75.0,1,3,4,3,1,0,3,3,-2,0,0,37.5
Terrance Ferguson,OKC,@CHA,2019-12-27,W,29,0,0,3,0.0,0,3,0.0,0,0,-,1,4,5,0,0,0,0,5,-9,0,0,6.25
Miles Bridges,CHA,vs.OKC,2019-12-27,L,29,11,5,11,45.5,1,4,25.0,0,1,0.0,2,4,6,2,0,1,0,4,-2,0,0,24.0
Dwayne Bacon,CHA,vs.OKC,2019-12-27,L,6,0,0,3,0.0,0,1,0.0,0,0,-,0,2,2,1,1,0,2,0,-2,0,0,5.0
Luguentz Dort,OKC,@CHA,2019-12-27,W,17,7,2,3,66.7,1,2,50.0,2,4,50.0,1,1,2,1,0,0,0,3,12,0,0,11.5
Deonte Burton,OKC,@CHA,2019-12-27,W,21,6,3,8,37.5,0,3,0.0,0,1,0.0,0,3,3,1,0,0,0,1,3,0,0,11.25
Malik Monk,CHA,vs.OKC,2019-12-27,L,23,4,2,7,28.6,0,3,0.0,0,0,-,1,1,2,4,1,0,1,2,-13,0,0,14.0
Bismack Biyombo,CHA,vs.OKC,2019-12-27,L,28,10,3,5,60.0,0,0,-,4,6,66.7,5,5,10,1,0,2,0,5,9,1,0,29.5
Cody Martin,CHA,vs.OKC,2019-12-27,L,22,10,3,8,37.5,0,3,0.0,4,5,80.0,1,5,6,0,2,0,1,4,8,0,0,21.0
Abdel Nader,OKC,@CHA,2019-12-27,W,17,2,1,3,33.3,0,2,0.0,0,0,-,0,1,1,1,0,1,3,0,3,0,0,5.25
Nerlens Noel,OKC,@CHA,2019-12-27,W,19,8,2,2,100,0,0,-,4,6,66.7,2,5,7,2,3,0,4,3,1,0,0,23.75
Darius Bazley,OKC,@CHA,2019-12-27,W,22,0,0,7,0.0,0,6,0.0,0,0,-,0,6,6,1,0,1,0,4,-8,0,0,11.0
Marvin Williams,CHA,vs.OKC,2019-12-27,L,14,4,2,4,50.0,0,2,0.0,0,0,-,2,0,2,1,0,0,0,1,-25,0,0,8.0
Chris Paul,OKC,@CHA,2019-12-27,W,35,16,6,20,30.0,0,6,0.0,4,4,100,1,6,7,6,1,0,1,2,-5,0,0,35.25
Shai Gilgeous-Alexander,OKC,@CHA,2019-12-27,W,36,27,10,17,58.8,1,1,100,6,8,75.0,1,3,4,1,2,0,1,1,-1,0,0,37.5
Devonte' Graham,CHA,vs.OKC,2019-12-27,L,46,15,6,21,28.6,3,13,23.1,0,0,-,1,8,9,13,1,0,5,2,4,1,0,48.25
P.J. Washington,CHA,vs.OKC,2019-12-27,L,37,14,7,15,46.7,0,2,0.0,0,2,0.0,1,4,5,0,0,1,1,0,20,0,0,21.75
Kyle Korver,MIL,@ATL,2019-12-27,W,18,8,2,4,50.0,2,4,50.0,2,2,100,0,1,1,3,2,0,1,0,-4,0,0,18.25
De'Andre Hunter,ATL,vs.MIL,2019-12-27,L,23,5,2,8,25.0,1,4,25.0,0,0,-,0,0,0,1,2,0,3,2,-36,0,0,9.5
Chandler Parsons,ATL,vs.MIL,2019-12-27,L,11,0,0,4,0.0,0,2,0.0,0,0,-,0,1,1,1,0,1,1,0,-11,0,0,4.25
John Collins,ATL,vs.MIL,2019-12-27,L,26,9,4,14,28.6,1,6,16.7,0,0,-,2,14,16,2,0,3,2,5,-34,0,0,37.5
Allen Crabbe,ATL,vs.MIL,2019-12-27,L,21,20,7,10,70.0,4,7,57.1,2,3,66.7,0,4,4,0,3,0,1,2,0,0,0,32.5
Evan Turner,ATL,vs.MIL,2019-12-27,L,10,0,0,1,0.0,0,0,-,0,0,-,0,2,2,2,0,0,1,0,-4,0,0,5.0
Donte DiVincenzo,MIL,@ATL,2019-12-27,W,23,10,3,8,37.5,0,1,0.0,4,4,100,0,2,2,2,3,1,1,1,33,0,0,23.0
D.J. Wilson,MIL,@ATL,2019-12-27,W,12,0,0,2,0.0,0,1,0.0,0,0,-,0,3,3,2,0,0,0,0,-6,0,0,6.75
Thanasis Antetokounmpo,MIL,@ATL,2019-12-27,W,7,4,2,3,66.7,0,1,0.0,0,0,-,1,0,1,2,1,0,0,2,-6,0,0,10.25
Khris Middleton,MIL,@ATL,2019-12-27,W,25,23,10,19,52.6,3,6,50.0,0,0,-,1,7,8,7,0,0,3,2,34,0,0,43.5
Wesley Matthews,MIL,@ATL,2019-12-27,W,19,0,0,3,0.0,0,2,0.0,0,0,-,0,4,4,1,0,1,0,3,29,0,0,8.5
Brook Lopez,MIL,@ATL,2019-12-27,W,23,19,8,14,57.1,2,4,50.0,1,2,50.0,0,2,2,5,0,3,2,0,27,0,0,35.0
Cam Reddish,ATL,vs.MIL,2019-12-27,L,30,11,5,12,41.7,1,4,25.0,0,0,-,0,5,5,1,1,1,1,0,-19,0,0,22.75
Brandon Goodwin,ATL,vs.MIL,2019-12-27,L,14,0,0,6,0.0,0,4,0.0,0,0,-,0,3,3,2,1,0,0,1,6,0,0,8.75
Trae Young,ATL,vs.MIL,2019-12-27,L,15,12,3,6,50.0,2,4,50.0,4,6,66.7,0,0,0,2,0,0,4,1,-25,0,0,14.0
Kevin Huerter,ATL,vs.MIL,2019-12-27,L,27,12,4,9,44.4,2,4,50.0,2,2,100,1,2,3,3,0,0,2,1,0,0,0,20.25
Bruno Fernando,ATL,vs.MIL,2019-12-27,L,16,6,3,7,42.9,0,2,0.0,0,3,0.0,2,5,7,1,1,1,1,4,-3,0,0,19.75
DeAndre' Bembry,ATL,vs.MIL,2019-12-27,L,15,9,4,8,50.0,1,2,50.0,0,0,-,0,1,1,2,1,0,1,0,1,0,0,15.25
Damian Jones,ATL,vs.MIL,2019-12-27,L,19,2,1,5,20.0,0,1,0.0,0,0,-,3,1,4,1,1,2,1,1,-2,0,0,14.0
Vince Carter,ATL,vs.MIL,2019-12-27,L,12,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,2,0,0,0,1,-3,0,0,3.0
Sterling Brown,MIL,@ATL,2019-12-27,W,25,5,2,7,28.6,1,4,25.0,0,0,-,0,3,3,0,1,0,3,3,-4,0,0,9.75
George Hill,MIL,@ATL,2019-12-27,W,20,8,4,7,57.1,0,0,-,0,0,-,0,3,3,2,1,0,3,1,-6,0,0,15.25
Ersan Ilyasova,MIL,@ATL,2019-12-27,W,24,18,7,8,87.5,2,2,100,2,2,100,3,14,17,0,0,1,2,1,37,1,0,42.75
Robin Lopez,MIL,@ATL,2019-12-27,W,21,10,5,8,62.5,0,0,-,0,3,0.0,0,1,1,1,0,2,0,0,-1,0,0,16.75
Pat Connaughton,MIL,@ATL,2019-12-27,W,22,7,3,8,37.5,1,3,33.3,0,0,-,1,10,11,4,1,0,3,0,-3,0,0,27.75
Kendrick Nunn,MIA,vs.IND,2019-12-27,W,28,17,7,14,50.0,3,7,42.9,0,0,-,0,4,4,4,0,0,0,3,3,0,0,29.5
T.J. McConnell,IND,@MIA,2019-12-27,L,18,6,3,7,42.9,0,0,-,0,2,0.0,0,4,4,6,1,0,1,2,-5,0,0,21.5
Jeremy Lamb,IND,@MIA,2019-12-27,L,30,16,6,11,54.5,1,3,33.3,3,3,100,0,4,4,1,0,2,1,3,4,0,0,26.5
Goran Dragic,MIA,vs.IND,2019-12-27,W,29,14,6,14,42.9,2,5,40.0,0,0,-,0,3,3,6,1,0,3,0,1,0,0,28.25
Justin Holiday,IND,@MIA,2019-12-27,L,30,11,4,8,50.0,3,6,50.0,0,0,-,0,1,1,1,2,0,0,1,-2,0,0,19.25
Edmond Sumner,IND,@MIA,2019-12-27,L,18,11,5,7,71.4,1,2,50.0,0,0,-,1,3,4,1,2,2,1,1,-5,0,0,25.5
Derrick Jones Jr.,MIA,vs.IND,2019-12-27,W,27,7,3,9,33.3,0,4,0.0,1,2,50.0,2,4,6,1,0,2,1,0,-3,0,0,19.5
Tyler Herro,MIA,vs.IND,2019-12-27,W,22,10,4,11,36.4,2,6,33.3,0,0,-,1,8,9,4,0,0,3,1,1,0,0,26.75
Meyers Leonard,MIA,vs.IND,2019-12-27,W,19,0,0,5,0.0,0,3,0.0,0,0,-,0,2,2,0,0,0,1,1,-8,0,0,2.0
Doug McDermott,IND,@MIA,2019-12-27,L,21,14,5,10,50.0,4,7,57.1,0,0,-,0,1,1,2,0,0,1,2,-5,0,0,19.75
Kelly Olynyk,MIA,vs.IND,2019-12-27,W,17,9,3,4,75.0,3,3,100,0,0,-,0,5,5,0,1,0,0,2,12,0,0,18.75
Domantas Sabonis,IND,@MIA,2019-12-27,L,31,8,4,11,36.4,0,0,-,0,0,-,1,6,7,4,2,0,0,0,-5,0,0,26.75
Goga Bitadze,IND,@MIA,2019-12-27,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0.0
Aaron Holiday,IND,@MIA,2019-12-27,L,30,17,7,15,46.7,1,4,25.0,2,2,100,0,3,3,9,0,0,0,0,4,0,0,34.75
Myles Turner,IND,@MIA,2019-12-27,L,26,13,5,9,55.6,3,5,60.0,0,0,-,0,6,6,1,0,0,0,4,7,0,0,23.5
T.J. Warren,IND,@MIA,2019-12-27,L,31,16,5,12,41.7,1,4,25.0,5,5,100,0,4,4,2,1,0,0,3,2,0,0,26.5
Duncan Robinson,MIA,vs.IND,2019-12-27,W,28,18,6,11,54.5,6,10,60.0,0,0,-,0,3,3,2,0,0,0,2,-6,0,0,27.75
Jimmy Butler,MIA,vs.IND,2019-12-27,W,33,20,3,11,27.3,0,0,-,14,15,93.3,5,4,9,6,1,0,4,3,3,0,0,40.25
Bam Adebayo,MIA,vs.IND,2019-12-27,W,36,18,8,10,80.0,0,0,-,2,2,100,6,9,15,6,0,0,1,0,2,1,0,46.75
Furkan Korkmaz,PHI,@ORL,2019-12-27,L,22,7,3,9,33.3,1,4,25.0,0,0,-,0,3,3,0,2,0,3,0,-5,0,0,13.75
Josh Richardson,PHI,@ORL,2019-12-27,L,36,15,6,13,46.2,1,1,100,2,2,100,1,2,3,6,3,1,2,3,2,0,0,35.25
Joel Embiid,PHI,@ORL,2019-12-27,L,32,24,8,21,38.1,4,11,36.4,4,4,100,2,9,11,2,0,1,4,5,-1,1,0,44.25
Trey Burke,PHI,@ORL,2019-12-27,L,9,5,1,1,100,0,0,-,3,3,100,0,0,0,0,0,0,0,0,-2,0,0,5.0
Tobias Harris,PHI,@ORL,2019-12-27,L,36,24,9,19,47.4,3,8,37.5,3,4,75.0,2,9,11,3,0,0,2,2,0,1,0,44.25
Mike Scott,PHI,@ORL,2019-12-27,L,15,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,1,1,-3,0,0,2.0
D.J. Augustin,ORL,vs.PHI,2019-12-27,W,24,4,1,7,14.3,1,2,50.0,1,1,100,1,0,1,1,0,0,1,2,2,0,0,6.75
Ben Simmons,PHI,@ORL,2019-12-27,L,39,13,5,11,45.5,0,0,-,3,6,50.0,1,8,9,7,4,0,3,5,1,0,0,41.25
Aaron Gordon,ORL,vs.PHI,2019-12-27,W,34,19,7,16,43.8,1,4,25.0,4,4,100,2,9,11,3,0,1,4,4,-2,1,0,39.25
James Ennis III,PHI,@ORL,2019-12-27,L,18,2,0,3,0.0,0,0,-,2,2,100,0,2,2,0,0,0,0,1,-2,0,0,4.5
Al Horford,PHI,@ORL,2019-12-27,L,33,7,3,8,37.5,1,4,25.0,0,0,-,1,3,4,5,1,1,0,5,5,0,0,24.0
Wes Iwundu,ORL,vs.PHI,2019-12-27,W,16,0,0,3,0.0,0,0,-,0,0,-,0,2,2,2,0,1,0,2,-2,0,0,7.5
Jonathan Isaac,ORL,vs.PHI,2019-12-27,W,30,4,2,7,28.6,0,1,0.0,0,0,-,2,4,6,0,1,3,2,3,-4,0,0,18.5
Markelle Fultz,ORL,vs.PHI,2019-12-27,W,28,13,5,10,50.0,2,4,50.0,1,4,25.0,0,3,3,6,0,0,3,1,-1,0,0,25.25
Nikola Vucevic,ORL,vs.PHI,2019-12-27,W,32,16,7,16,43.8,2,6,33.3,0,0,-,3,9,12,7,0,0,0,3,0,1,0,44.0
Terrence Ross,ORL,vs.PHI,2019-12-27,W,28,17,5,12,41.7,2,6,33.3,5,5,100,0,7,7,0,1,0,3,0,10,0,0,27.25
Evan Fournier,ORL,vs.PHI,2019-12-27,W,32,20,8,14,57.1,2,7,28.6,2,5,40.0,0,2,2,6,2,0,0,3,1,0,0,36.5
Khem Birch,ORL,vs.PHI,2019-12-27,W,16,5,2,3,66.7,0,0,-,1,4,25.0,2,2,4,1,0,0,2,3,1,0,0,10.5
Ante Zizic,CLE,@BOS,2019-12-27,L,5,8,2,2,100,0,0,-,4,4,100,0,2,2,0,0,1,0,1,10,0,0,12.5
Alfonzo McKinnie,CLE,@BOS,2019-12-27,L,4,2,1,1,100,0,0,-,0,0,-,0,0,0,0,1,0,0,1,10,0,0,4.0
Collin Sexton,CLE,@BOS,2019-12-27,L,31,21,9,20,45.0,0,2,0.0,3,3,100,2,2,4,2,1,0,1,4,-6,0,0,30.5
