PLAYER  ,POS  ,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,Salary,Position,Cost_per_point,Points_Rank,Salary_Rank,Eligible
JaMychal Green,PF,15.7,7.07,4.99,0.82,74.34,27.88,8.56,0.86,4500.0,PF,286.62,112.0,103.0,True
OG Anunoby,SF,15.670000000000002,7.97,4.37,2.3,254.8,55.12,12.25,3.02,6100.0,SF/PF,389.28,113.0,53.0,False
Michael Carter-Williams,PG,15.55,4.82,3.59,2.84,67.5,22.37,6.56,3.59,4200.0,PG/SF,270.1,114.0,112.0,True
Andre Iguodala,SF,15.46,4.88,3.25,2.65,67.62,21.64,3.67,3.97,3700.0,SF,239.33,115.0,132.5,True
Lonnie Walker IV,SG,15.12,5.78,2.3,-0.96,190.55,73.7,5.76,4.06,4300.0,SG/SF,284.39,116.0,108.5,True
Naz Reid,PF,14.88,7.42,0.74,3.64,303.8,72.5,22.86,2.57,5200.0,C,349.46,117.5,77.0,True
Luguentz Dort,SG,14.88,3.62,7.32,0.58,183.98,41.2,46.64,0.94,5200.0,SG/SF,349.46,117.5,77.0,True
Luke Kennard,SG,14.81,8.53,2.67,2.09,112.57,71.19,4.52,5.46,4100.0,SG/SF,276.84,119.0,117.0,True
Dwayne Bacon,SG,14.79,8.54,2.4,1.07,61.13,34.66,4.24,1.05,3500.0,SG/SF,236.65,120.0,137.0,True
Josh Okogie,SG,14.72,7.4,2.5,1.12,65.07,25.03,3.79,2.19,3900.0,SF,264.95,121.0,124.0,True
Solomon Hill,SF,14.71,5.34,4.4,1.19,58.96,21.36,4.27,1.88,3400.0,PF,231.14,122.0,140.0,True
Monte Morris,PG,14.67,6.97,1.98,2.16,63.74,23.84,3.21,2.92,4100.0,PG,279.48,123.0,117.0,True
Caleb Martin,SG,14.51,17.55,-3.15,-1.93,250.79,81.52,18.13,5.3,3300.0,SG/SF,227.43,124.0,142.0,True
Ivica Zubac,C,14.34,5.37,4.19,1.53,84.25,17.29,17.59,1.13,4500.0,C,313.81,125.0,103.0,True
Coby White,PG,14.11,-6.210000000000001,2.89,4.33,352.42,136.69,8.42,14.34,7000.0,PG/SG,496.1,126.0,38.5,False
Aaron Holiday,PG,13.64,8.6,1.36,0.89,85.62,19.94,2.01,6.5,3500.0,PG/SG,256.6,127.0,137.0,True
Bismack Biyombo,C,13.51,4.59,4.56,0.71,86.46,21.42,12.49,1.34,4200.0,C,310.88,128.0,112.0,True
Reggie Bullock,SF,13.36,9.02,0.46,1.36,53.29,23.67,3.58,1.73,4200.0,SG/SF,314.37,129.0,112.0,True
Jamal Murray,SG,13.17,1.4100000000000001,3.11,4.25,263.44,130.89,4.61,11.99,7000.0,PG,531.51,130.0,38.5,False
Khem Birch,C,12.84,3.1,4.4,1.14,84.64,14.67,10.62,1.2,3800.0,C,295.95,131.0,128.0,True
Chris Boucher,C,12.53,4.43,3.07,1.88,425.16,101.62,21.0,1.17,7300.0,C,582.6,132.0,33.5,False
Jarrett Culver,SF,12.46,4.63,2.33,1.12,57.47,25.77,7.56,2.35,3600.0,SG/SF,288.92,133.0,135.0,True
Seth Curry,SG,12.37,28.77,1.76,1.76,147.64,130.9,3.58,2.55,5100.0,SG,412.29,134.0,79.0,False
Doug McDermott,SF,11.93,8.09,2.13,0.52,79.18,37.94,4.67,1.25,5000.0,SF/PF,419.11,135.0,82.0,False
Mike Muscala,C,11.51,4.24,3.08,1.14,89.56,25.45,5.8,1.08,3200.0,C,278.02,136.0,144.5,True
Trey Burke,PG,10.84,6.13,1.22,1.5,123.57,50.15,2.23,4.29,4900.0,PG/SG,452.03,137.0,86.0,False
David Nwaba,PG,10.55,5.45,2.31,1.0,58.12,22.03,5.07,1.49,4000.0,SF,379.15,138.0,121.0,True
Daniel Theis,C,10.38,4.59,11.25,0.6,154.42,44.0,18.46,2.26,5300.0,PF/C,510.6,139.0,74.0,False
Aron Baynes,C,10.2,3.46,3.43,0.66,174.69,55.77,11.71,1.99,3200.0,C,313.73,140.0,144.5,True
Damyean Dotson,SG,9.87,4.01,2.28,1.19,69.95,30.66,3.11,2.98,4600.0,PG/SG,466.06,141.0,97.5,True
Cameron Johnson,SF,8.27,-0.41999999999999993,3.52,0.87,189.27,59.69,10.65,1.95,4400.0,SF/PF,532.04,142.0,107.0,True
Grant Williams,PF,8.02,1.3,1.76,1.34,45.17,9.35,4.74,1.12,3200.0,SF/PF,399.0,143.0,144.5,True
Edmond Sumner,SG,7.91,4.25,0.51,0.49,89.02,25.14,2.73,4.32,3800.0,SG/SF,480.4,144.0,128.0,True
Norman Powell,SF,5.77,4.08,2.7,1.39,197.92,94.84,6.91,2.14,4300.0,SG/SF,745.23,145.0,108.5,True
Semi Ojeleye,PF,4.95,1.68,1.88,0.36,66.83,22.73,5.74,0.47,3500.0,SF/PF,707.07,146.0,137.0,True
Jeff Teague,PG,-0.8300000000000001,16.5,3.38,-1.1400000000000001,245.22,58.83,3.11,13.82,3800.0,PG/SG,-4578.31,147.0,128.0,True
Svi Mykhailiuk,SG,-1.9700000000000006,-0.5499999999999998,1.37,2.66,117.86,53.03,3.54,3.38,3100.0,SG,-1573.6,148.0,147.0,True
George Hill,PG,-4.220000000000001,-0.13999999999999968,1.79,2.61,112.5,61.51,3.45,2.46,4200.0,PG/SG,-995.26,149.0,112.0,True
